entid,ANCHEYEAR,ANCHEDATE,EMPNUM,WOMEMPNUM,BUSST
856331759,2013,2014-12-11,,,0
26019577,2013,2015-03-03,15.0,,0
95898023,2016,2017-12-20,5.0,3.0,0
1115273959,2017,2018-07-21,5.0,4.0,11
362903000,2017,2018-10-27,91.0,48.0,11
332305361,2015,2016-05-08,,,0
95898023,2014,2015-02-18,6.0,,0
784543149,2013,2015-12-21,,,4
1115273959,2013,2014-10-29,,,0
1115273959,2014,2015-12-26,,,0
945761891,2014,2015-09-20,,,4
810358507,2013,2014-03-31,4.0,,0
856331759,2014,2015-09-29,,,0
945761891,2013,2014-04-12,,,0
856331759,2015,2016-03-05,19.0,,11
1082407313,2015,2016-04-07,20.0,,11
332412177,2016,2017-08-30,7.0,8.0,13
777755253,2014,2018-06-19,23.0,,11
777755253,2017,2018-10-19,21.0,17.0,11
322323136,2015,,,,16
211101804,2015,2016-12-20,,,5
784543149,2014,2015-05-29,,,4
150680780,2015,2016-02-21,,,4
362903000,2013,2015-09-13,,,0
332412177,2013,2015-10-30,,,0
878303695,2014,2015-03-23,18.0,,0
1082407313,2016,2017-11-27,24.0,18.0,11
1136409037,2016,2017-07-25,3.0,9.0,11
1122732191,2016,2017-07-12,11.0,6.0,11
1122732191,2015,2017-06-12,9.0,,11
617917621,2016,2017-07-08,29.0,7.0,11
1231967447,2013,2016-07-31,20.0,,11
878303695,2015,,,,11
919821609,2017,,,,11
1082407313,2013,2014-10-20,,,0
1122732191,2013,2014-03-25,,,0
26019577,2014,2015-11-03,17.0,,0
856331759,2016,2017-07-20,13.0,8.0,0
1115273959,2016,2017-11-20,12.0,9.0,11
26019577,2016,2017-01-31,10.0,9.0,11
878303695,2016,,,,11
919821609,2014,,10.0,,11
362903000,2018,2019-11-08,42.0,22.0,0
10698350,2018,2019-05-11,4.0,0.0,0
777755253,2018,2019-04-20,21.0,19.0,0
617917621,2018,2019-02-15,9.0,1.0,0
1115273959,2018,2019-04-22,7.0,7.0,0
878303695,2017,2019-11-05,15.0,11.0,11
878303695,2018,2019-12-09,19.0,20.0,11
1122732191,2018,2019-08-07,12.0,13.0,11
1082407313,2018,2019-05-29,13.0,12.0,11
26019577,2018,2019-10-14,12.0,1.0,11
856331759,2018,2019-01-08,19.0,,11
1231967447,2018,2019-07-19,22.0,12.0,11
425886436,2013,2014-01-18,10.0,,0
147068138,2014,2015-09-12,,,0
1190925362,2015,2016-07-27,,,0
1040633449,2014,2015-12-20,,,0
40212297,2014,2015-08-02,,,0
572538608,2013,2014-10-13,7.0,,0
451175570,2015,2016-07-29,,,0
959830672,2014,2015-09-13,,,0
654589853,2014,2015-10-19,,,0
1059635469,2014,2015-07-16,,,0
658987796,2016,2017-09-20,4852.0,2896.0,0
24139944,2016,2017-03-18,8.0,3.0,11
1059460430,2015,2016-08-17,19.0,,11
1151638109,2017,2018-08-26,12.0,3.0,11
1179072556,2017,2018-12-08,16.0,5.0,11
1220212463,2016,2017-11-27,8.0,9.0,11
630988110,2015,,,,11
425886436,2015,,,,11
572538608,2014,2015-10-23,9.0,,0
919000691,2015,2016-10-27,,,0
959830672,2015,2016-04-19,,,0
1059460430,2013,2016-08-17,10.0,,11
127466506,2016,2018-06-15,33.0,18.0,11
210167448,2016,2017-03-19,6.0,9.0,11
1059635469,2017,2018-06-07,2.0,5.0,11
153234185,2015,2017-02-05,9.0,,11
959830672,2017,2018-01-12,2.0,6.0,11
654589853,2015,,,,11
425886436,2016,,8.0,,18
127466506,2015,2016-09-15,25.0,,0
440892289,2013,2015-07-29,,,4
440892289,2016,2017-06-20,14.0,4.0,0
40212297,2016,2017-10-20,24.0,7.0,0
959830672,2016,2017-05-20,9.0,2.0,0
24139944,2015,2017-07-18,7.0,,11
1059460430,2016,2017-01-26,9.0,6.0,11
127466506,2017,2018-08-10,24.0,11.0,11
1179072556,2013,2017-11-04,13.0,,11
451175570,2016,2017-02-24,5.0,9.0,11
654589853,2016,,,,11
187884675,2017,2018-12-15,9.0,1.0,11
187884675,2014,2015-12-21,2.0,,11
440892289,2014,2015-03-29,,,4
440892289,2015,2016-08-25,,,0
127466506,2014,2015-03-03,,,0
775549241,2013,2014-04-26,,,0
658987796,2013,2014-10-29,,,0
40212297,2017,2018-01-12,17.0,5.0,11
658987796,2017,2018-09-24,4781.0,2805.0,11
775549241,2016,2017-06-20,12.0,8.0,13
114126067,2014,2018-11-26,10.0,,11
676479940,2017,2018-11-24,7.0,1.0,11
147068138,2015,2016-06-18,18.0,,11
1151638109,2015,2018-11-26,4.0,,11
451175570,2017,2018-06-05,9.0,0.0,11
1220212463,2015,2016-11-19,9.0,,11
187884675,2015,2016-12-23,2.0,,11
860188978,2013,2015-05-12,,,0
40212297,2013,2014-12-23,,,0
658987796,2015,2016-12-19,,,0
1220212463,2014,2015-12-28,20.0,,0
1220212463,2013,2015-03-28,14.0,,0
1059635469,2015,2016-04-22,,,0
1059460430,2014,2016-06-17,11.0,,11
993295834,2016,2017-01-06,5.0,1.0,11
860188978,2015,2016-06-02,23.0,,11
448253308,2016,2017-07-20,3.0,2.0,11
448253308,2014,2016-08-21,5.0,,16
919000691,2017,2018-11-01,7.0,4.0,11
153234185,2016,2017-02-05,7.0,0.0,11
1179072556,2015,2017-07-04,15.0,,11
1179072556,2016,2017-03-04,16.0,17.0,11
187884675,2016,2017-05-15,8.0,8.0,11
1201794855,2014,2015-06-15,,,0
676479940,2013,2014-05-15,,,0
127466506,2013,2015-04-03,,,0
658987796,2014,2015-07-03,,,0
1059460430,2017,2018-08-06,10.0,4.0,9
993295834,2017,2018-06-15,8.0,6.0,11
114126067,2013,2018-11-26,11.0,,11
676479940,2016,2017-07-11,1.0,3.0,11
1059635469,2016,2017-07-27,9.0,9.0,11
1151638109,2014,2018-11-26,11.0,,11
959830672,2013,2015-09-13,,,0
775549241,2015,2016-06-14,,,5
919000691,2014,2015-08-26,,,0
40212297,2015,2017-09-11,18.0,,11
775549241,2017,2018-01-09,2.0,1.0,11
993295834,2015,2016-09-05,9.0,,11
114126067,2015,2018-10-26,9.0,,11
114126067,2016,2018-01-26,8.0,1.0,11
1179072556,2014,2017-02-04,19.0,,11
448253308,2013,2014-07-18,,,0
860188978,2014,2015-04-12,,,0
1040633449,2013,2015-09-20,,,0
425886436,2014,2015-07-12,,,0
676479940,2014,2015-02-11,,,0
676479940,2015,2016-05-17,,,0
210167448,2015,2016-05-02,,,0
775549241,2014,2015-08-12,,,0
440892289,2017,2018-05-19,9.0,4.0,11
24139944,2017,2018-07-04,6.0,6.0,9
210167448,2017,2018-12-19,9.0,4.0,11
114126067,2017,2018-08-26,9.0,8.0,11
448253308,2017,2018-04-17,4.0,6.0,11
448253308,2015,2016-06-21,11.0,,16
919000691,2016,2017-01-17,7.0,10.0,11
153234185,2014,2017-07-05,5.0,,11
1151638109,2016,2018-06-26,8.0,2.0,11
1220212463,2017,2018-10-27,3.0,1.0,11
630988110,2016,,,,18
448253308,2018,2019-08-16,6.0,8.0,0
440892289,2018,2019-06-02,7.0,,7
451175570,2018,2019-12-26,5.0,1.0,0
1059635469,2018,2019-09-02,1.0,1.0,0
40212297,2018,2019-08-22,14.0,,11
919000691,2018,2019-04-17,9.0,5.0,11
1179072556,2018,2019-12-31,10.0,11.0,11
676479940,2018,2019-07-10,9.0,2.0,11
127466506,2018,2019-02-06,42.0,22.0,11
959830672,2018,2019-03-15,9.0,9.0,11
210167448,2018,2019-10-29,10.0,7.0,11
1220212463,2018,2019-04-15,0.0,5.0,11
606816694,2013,2015-06-04,,,0
201054148,2013,2014-12-15,,,0
346671211,2014,2015-04-25,,,0
1187619116,2014,2015-11-12,6.0,,0
702990878,2013,2014-07-01,,,0
159915398,2014,2015-08-30,15.0,,4
462447349,2014,2015-02-25,,,0
837743488,2014,2015-08-17,8.0,,11
699829806,2015,2016-06-29,,,0
669744226,2014,2015-02-13,,,0
79532710,2016,2017-02-20,8.0,2.0,0
606816694,2016,2017-09-20,28.0,5.0,11
955929116,2015,2016-05-08,6.0,,11
807448595,2013,2016-01-14,4.0,,16
584402496,2017,2018-07-08,9.0,9.0,11
584402496,2016,2017-02-17,4.0,9.0,11
189837841,2017,2018-12-29,7.0,2.0,11
1048179815,2017,,,,11
651615212,2013,2015-10-26,,,0
805505073,2013,2014-09-30,,,0
70578920,2013,2014-07-14,11.0,,0
485154649,2015,2016-12-11,25.0,,0
699829806,2014,2015-05-10,11.0,,0
70578920,2016,2017-06-20,3.0,6.0,0
79532710,2017,2018-10-18,8.0,7.0,11
805505073,2017,2018-08-09,1.0,4.0,11
485154649,2017,2018-02-19,22.0,11.0,11
1123914320,2017,2018-09-19,4.0,9.0,11
699829806,2016,2017-02-18,24.0,20.0,11
640968401,2015,2017-02-09,11.0,,11
201054148,2016,2017-03-12,11.0,2.0,11
189837841,2016,2017-09-29,8.0,6.0,11
1048179815,2013,,,,11
346671211,2013,2014-12-23,,,0
353587921,2013,2014-05-05,20.0,,0
353587921,2014,2015-03-24,12.0,,0
807621140,2013,2015-10-04,,,0
485154649,2014,2015-03-13,23.0,,0
584402496,2014,2015-02-13,12.0,,0
584402496,2015,2016-09-30,,,0
70578920,2017,2018-05-23,4.0,3.0,11
640968401,2017,2018-10-24,6.0,7.0,11
462447349,2017,2018-10-18,4.0,8.0,11
353587921,2017,2018-01-27,5.0,5.0,11
651615212,2016,2017-05-05,8.0,3.0,11
189837841,2015,2016-03-01,11.0,,11
338094005,2017,,,,11
1048179815,2014,,,,11
807621140,2014,2015-06-04,,,0
702990878,2014,2015-08-30,,,0
70578920,2014,2015-09-08,3.0,,0
640968401,2014,2015-09-24,2.0,,0
485154649,2016,2017-09-20,31.0,17.0,0
955929116,2014,2016-03-08,8.0,,11
201054148,2014,2016-05-26,4.0,,11
462447349,2015,2017-09-23,3.0,,11
559337070,2017,2018-08-13,4.0,5.0,11
338094005,2016,,,,11
1048179815,2015,,,,11
807621140,2018,,11.0,,0
338094005,2018,,,,0
606816694,2014,2015-06-04,,,0
1123914320,2014,2015-09-12,,,0
640968401,2013,2015-07-20,10.0,,0
584402496,2013,2014-06-18,5.0,,0
189837841,2014,2015-09-23,4.0,,11
79532710,2014,2015-01-08,40.0,,0
805505073,2016,2017-01-20,9.0,6.0,0
346671211,2016,2017-06-10,8.0,4.0,11
346671211,2015,2017-11-10,9.0,,11
955929116,2013,2016-07-08,7.0,,11
640968401,2016,2017-12-09,6.0,10.0,11
807448595,2015,2016-04-14,4.0,,16
807621140,2016,2017-09-13,5.0,11.0,11
353587921,2016,2017-05-31,9.0,6.0,11
159915398,2016,,,,11
338094005,2015,,,,11
1048179815,2016,,,,11
1057654777,2015,2016-12-14,5.0,,0
353587921,2015,2016-08-27,15.0,,0
70578920,2015,2016-11-15,2.0,,0
805505073,2015,2016-05-17,,,0
1123914320,2015,2016-05-06,,,0
159915398,2015,2016-01-10,,,0
1222676313,2014,2015-02-28,,,0
955929116,2016,2017-04-03,7.0,5.0,13
699829806,2017,2018-10-25,10.0,8.0,11
807448595,2014,2016-05-14,4.0,,16
338094005,2014,,,,11
606816694,2015,2016-06-04,,,0
651615212,2014,2015-08-28,,,0
159915398,2013,2015-04-30,15.0,,4
1187619116,2013,2015-10-12,12.0,,0
79532710,2013,2014-08-25,39.0,,0
1123914320,2016,2017-06-28,11.0,5.0,11
955929116,2017,2018-01-25,10.0,1.0,13
651615212,2017,2018-12-24,9.0,9.0,11
651615212,2015,2016-05-16,4.0,,11
338094005,2013,,,,11
805505073,2014,2015-01-06,,,0
1123914320,2013,2015-08-12,7.0,,0
462447349,2013,2015-11-25,6.0,,0
837743488,2013,2014-04-21,6.0,,11
485154649,2013,2014-09-03,31.0,,0
79532710,2015,2016-09-07,,,0
1222676313,2013,2015-08-30,,,0
699829806,2013,2015-02-10,14.0,,0
346671211,2017,2018-08-26,4.0,6.0,11
606816694,2017,2018-10-16,29.0,5.0,11
201054148,2015,2016-10-05,1.0,,11
807621140,2015,2017-08-10,9.0,,11
807621140,2017,2018-11-18,5.0,12.0,11
462447349,2016,2017-02-23,7.0,4.0,11
79532710,2018,2019-05-07,7.0,,0
201054148,2017,2019-12-19,11.0,9.0,0
201054148,2018,2019-07-19,4.0,2.0,0
933329028,2017,2019-07-12,6.0,1.0,7
933329028,2018,2019-05-12,4.0,9.0,7
485154649,2018,2019-06-20,20.0,17.0,0
70578920,2018,2019-07-15,7.0,8.0,0
189837841,2018,2019-04-22,13.0,9.0,0
1123914320,2018,2019-03-11,7.0,4.0,0
559337070,2018,2019-09-19,4.0,6.0,0
346671211,2018,2019-05-31,3.0,0.0,0
1048179815,2018,2019-11-26,14.0,6.0,11
955929116,2018,2019-11-27,4.0,8.0,11
353587921,2018,2019-10-18,5.0,4.0,9
462447349,2018,2019-09-25,5.0,3.0,11
640968401,2018,2019-02-26,6.0,6.0,11
606816694,2018,2019-03-20,14.0,2.0,11
584402496,2018,2019-01-28,6.0,,11
699829806,2018,2019-04-18,13.0,13.0,11
805505073,2018,2019-06-21,6.0,1.0,11
744696426,2013,2015-12-20,,,0
408215553,2014,2015-06-26,,,0
322394797,2015,2016-02-23,,,0
448795585,2014,2015-08-05,,,0
828831767,2014,2015-09-03,8.0,,11
831141326,2013,2016-08-06,8.0,,13
831141326,2015,2016-10-06,4.0,,13
532580930,2016,2018-11-04,11.0,7.0,13
408215553,2015,2016-12-18,8.0,,11
1090847978,2016,2017-05-23,263.0,136.0,11
644394656,2015,2016-10-10,6.0,,11
828831767,2017,2018-07-12,8.0,4.0,11
1224360866,2015,,,,11
199732240,2014,2015-04-15,,,0
972603126,2014,2015-02-05,9.0,,0
545113005,2013,2014-06-16,66.0,,0
448795585,2013,2015-05-05,,,0
616014124,2013,2014-09-26,,,0
831141326,2016,2017-03-20,9.0,1.0,0
532580930,2017,2018-11-04,7.0,3.0,13
644394656,2016,2017-06-27,11.0,8.0,11
545113005,2017,,,,18
140245352,2013,,7.0,,9
828831767,2016,2017-05-22,13.0,2.0,11
1224360866,2016,,,,11
744696426,2014,2015-10-20,,,0
199732240,2013,2015-03-28,,,0
668158638,2014,2015-12-10,2.0,,0
335693175,2014,2015-12-11,8.0,,0
831141326,2017,2018-11-04,7.0,1.0,11
1197260202,2017,2018-01-25,12.0,10.0,11
545113005,2016,,56.0,,11
140245352,2014,,9.0,,9
28115559,2014,2015-02-28,14.0,,0
1197260202,2013,2014-11-10,6.0,,0
1197260202,2015,2016-07-19,14.0,,0
545113005,2014,2015-09-20,65.0,,0
620868429,2015,2016-10-15,7.0,,0
828831767,2015,2016-07-23,18.0,,11
1197260202,2016,2017-06-20,9.0,10.0,0
322394797,2017,2018-04-23,12.0,3.0,13
335693175,2015,2016-01-05,6.0,,11
995461959,2015,,,,11
545113005,2015,,65.0,,11
1111922976,2017,2018-11-13,19.0,12.0,11
140245352,2015,,9.0,,9
1090847978,2015,2016-04-14,272.0,,0
620868429,2016,2017-05-20,1.0,8.0,0
322394797,2016,2017-09-20,15.0,3.0,0
532580930,2015,2018-11-04,11.0,,13
335693175,2016,2017-02-07,8.0,11.0,11
1090847978,2014,2015-07-22,263.0,,11
855400778,2013,,,,11
1111922976,2014,2016-06-18,16.0,,11
140245352,2016,,7.0,,9
322394797,2014,2015-11-17,,,0
322394797,2013,2014-09-25,,,0
620868429,2014,2015-10-03,,,0
335693175,2013,2015-03-11,13.0,,0
1090847978,2013,2014-01-18,234.0,,11
855400778,2014,,,,13
1111922976,2015,2016-11-18,15.0,,11
1074043626,2014,2015-03-23,7.0,,11
532580930,2014,2015-09-26,10.0,,0
1197260202,2014,2015-04-30,10.0,,0
460609992,2014,2015-10-15,,,0
831141326,2014,2016-07-06,6.0,,13
620868429,2017,2018-03-30,10.0,1.0,11
408215553,2016,2017-07-28,10.0,9.0,11
972603126,2015,,,,11
855400778,2015,,,,13
1111922976,2016,2017-01-21,14.0,7.0,11
28115559,2013,2014-07-16,11.0,,0
