entid,ANCHEYEAR,INV,TRANSAMPR,TRANSAMAFT,ALTDATE
21702078,2016,142,30.168264459538914,0.8175717449620646,2016-06-27
21702078,2015,143,31.339349595181805,,2017-07-27
198645614,2014,61,2.261429659231532,0.9831325245723138,2014-02-17
198645614,2016,61,0.5656361725824433,1.6938348838560795,2014-11-03
507043244,2017,0,-1.4282709444688737,1.1932962706360637,2018-01-16
766344392,2014,51,66.54621587323517,66.37591239973318,2014-07-28
766344392,2014,67,32.50047612239056,33.299508336581226,2014-04-28
485154649,2017,24,40.90958142005773,46.40891144765316,2017-09-02
485154649,2018,24,45.54288795731132,58.103216241244105,2018-10-03
122404006,2016,15,14.803824987249389,-0.8471690142971733,2016-10-12
122404006,2016,139,16.26302220876865,0.9651705415290992,2016-03-12
122404006,2016,178,21.84654832839389,26.31624053246832,2016-11-12
122404006,2016,197,51.80178118880881,70.69123413037136,2016-12-12
644394656,2016,356,31.352785018823937,0.8054397279728533,2016-07-06
644394656,2016,349,52.230935496018986,100.12472089188203,2016-02-06
644394656,2016,318,20.082967965053328,-1.032018926903954,2016-08-06
618578351,2015,59,79.50668856953493,20.265123088695333,2015-07-30
618578351,2015,285,2.813489092273429,60.05598003302056,2015-02-28
618578351,2015,269,19.85475308841585,10.182697505147225,2015-07-12
618578351,2015,73,1.1599237002763283,12.8705237031069,2015-10-12
322394797,2015,57,-1.4010768012535986,57.39594297466265,2015-05-06
322394797,2015,321,45.22381056847696,33.07740010606364,2015-04-06
322394797,2015,183,44.72438295133477,-0.9890765385343696,2015-02-06
1115273959,2014,236,60.09323548696191,1.341423602178126,2014-10-05
1115273959,2014,336,-0.1768465873501468,44.02085529050278,2014-02-05
1115273959,2014,2,0.1994059833470289,14.919386898087732,2014-10-05
856331759,2016,108,-0.3660162350502069,16.62081410058964,2016-12-12
856331759,2016,138,-0.8476003330688767,15.02751384781782,2016-07-12
856331759,2016,155,-1.566631844226548,17.899910612102158,2016-09-12
856331759,2016,265,2.000838687659419,16.201867618200353,2016-11-12
856331759,2016,32,-1.1574465197607724,15.396361775751153,2016-10-12
620500307,2015,364,-0.6365270095557273,16.436374195996244,2016-02-20
620500307,2016,364,0.6898939891375795,64.59146976921251,2016-03-13
620500307,2016,191,26.349169493796875,-0.6821147116048948,2016-11-13
620500307,2016,337,40.70721023793857,1.064540649558856,2016-04-13
465287457,2016,18,60.15546148495983,-0.1564710103127218,2016-03-08
465287457,2016,3,-1.44234317232687,59.104580958916095,2016-11-08
451175570,2017,46,39.830696664678,0.4653984020414052,2017-06-22
451175570,2017,212,0.4771952331140077,40.03379123314559,2017-10-22
451175570,2017,202,25.216339246639823,0.1780738805594446,2017-03-22
451175570,2017,213,-0.2838229163751556,61.589794829352826,2017-05-22
451175570,2017,215,32.458968251470935,1.4477783185750783,2017-02-22
451175570,2018,213,60.48141690454527,101.40779574266806,2018-04-03
451175570,2018,212,38.837185357900346,0.0237736970758055,2018-08-03
346671211,2017,167,6.806677669297076,-0.8616114301745272,2017-12-14
346671211,2017,177,14.404754929926767,-0.3469665223269082,2017-07-14
346671211,2017,151,2.437713624507312,0.2347652012083216,2017-04-14
346671211,2017,207,27.032318095630703,50.67517218205298,2017-05-28
346671211,2017,207,0.0644820420569494,26.71680498053005,2017-01-14
346671211,2017,58,22.92639094687878,-0.0173608316724876,2017-09-28
268673627,2013,91,33.35878758598237,0.5503539411224022,2014-09-22
268673627,2017,91,1.6396322180093883,50.87853866532217,2017-04-19
268673627,2017,169,31.9099444735466,-0.9570057905265544,2017-09-19
268673627,2017,314,32.73129784299793,50.000118659597206,2017-07-19
268673627,2017,323,0.688086995740061,-1.5869621654894563,2017-11-19
268673627,2017,250,32.4610547760166,-0.5275203235967808,2017-06-19
268673627,2015,323,31.390149680561343,0.9495883043217132,2015-02-01
189837841,2018,299,71.14928012240222,91.09777736484376,2018-07-11
189837841,2018,203,30.52598287471935,7.332968423258696,2018-06-09
1136409037,2016,310,50.3426571271493,10.78147470120908,2016-10-07
1136409037,2016,245,-1.4680662314012496,50.15749571889348,2016-07-07
1136409037,2016,144,49.59242256543551,11.471725367614416,2016-07-07
1136409037,2016,141,-2.184648788663736,26.47369617732836,2016-01-07
401234206,2016,9,99.746593691781,96.87175168275964,2017-06-21
401234206,2016,242,-1.8273804339907072,5.964899385311763,2017-06-21
401234206,2016,339,99.86965169810036,0.3921857332789472,2016-12-17
401234206,2016,9,-1.4863792397786282,100.3742959345242,2016-08-17
222738122,2018,289,10.130499332826378,-0.916830458029774,2006-01-18
222738122,2018,156,45.57094141593488,54.44673877039065,2006-04-18
617917621,2017,26,10.59397528953664,5.631025065751614,2017-02-09
617917621,2017,89,10.807716149297582,4.570212758194861,2017-10-09
617917621,2018,89,10.125688908439267,3.973624126467121,2017-11-09
617917621,2018,25,9.732988605762568,4.301005697823469,2017-12-09
699829806,2015,70,89.27709415243851,0.27346245758265,2015-11-11
699829806,2015,185,-0.7434463152525,89.1949181417506,2015-03-11
699829806,2015,301,10.317057639378987,-0.7813816914344851,2015-06-11
699829806,2015,322,0.7173799691889581,10.290164896141592,2015-06-11
979812063,2015,2276,97.70941964985572,98.33104380303618,2014-03-16
545755580,2016,795,2.4864342848457173,16.562175027612742,2016-07-08
545755580,2016,2304,1.280068338088406,12.60871853595074,2016-12-07
545755580,2016,1774,-0.449860407218395,12.232426352518033,2016-09-30
545755580,2016,574,-2.103264216309683,14.40262990582739,2016-03-08
545755580,2016,2618,-1.5106755813962371,28.515407040636266,2016-09-08
545755580,2016,1277,2.1589838221377486,11.950514698556166,2016-11-08
801579375,2016,793,38.62682291456409,-0.0139882240957647,2016-12-11
801579375,2016,1838,-0.7715806796453379,39.58895028393816,2016-07-11
1184047865,2015,1037,9.646292000879953,-0.3829751861921371,2015-06-01
1184047865,2015,1384,90.05444534570373,24.28806834928908,2015-07-01
1184047865,2017,2259,26.24271122194892,15.663481615019077,2017-08-05
1184047865,2017,2118,-0.0175241483944023,5.713624025092653,2017-11-05
1184047865,2017,2641,23.846668247139416,17.430104100918335,2017-06-05
1184047865,2017,339,-0.1854642853095635,23.802000447396782,2017-10-05
1184047865,2017,1384,24.635659179859783,4.980260920144796,2017-01-05
1184047865,2017,1816,22.616041602912883,29.55093178620861,2017-02-05
1184047865,2018,2259,14.173176874321952,18.89026203782372,2018-06-27
1184047865,2018,2118,6.909231076786717,0.940947568497144,2018-02-27
1184047865,2018,2641,18.59765255353351,18.058306632393368,2018-11-27
1031941181,2014,2102,90.44134163161812,1.2860231193698772,2014-08-12
1031941181,2014,2097,9.160284896550568,-0.2873167337698067,2014-03-12
124575170,2016,10,18.989097057519743,-1.4604661084063582,2016-07-30
124575170,2016,1341,26.950003845389706,-0.3644399939942773,2016-12-30
124575170,2016,2687,-0.3633179284706477,99.61135907699747,2016-05-30
124575170,2016,2318,26.509087857799944,1.1017297366372123,2016-11-30
124575170,2016,461,25.263402781945857,1.2139014169321236,2016-01-30
63165459,2014,382,-0.6215373302967595,1.485433527117365,2014-05-15
63165459,2014,1698,101.01115994242214,-0.5273050850021557,2014-02-15
380934662,2016,1531,47.73971030631362,-0.1578323513940619,2016-03-09
380934662,2016,1685,51.863517363741856,10.46917782238903,2016-01-09
380934662,2016,195,0.8242135757988054,90.93682321310496,2016-02-09
1085982260,2016,2469,96.51529095332532,100.70526090113536,2016-10-07
11683944,2013,1880,0.1146762690670051,98.4894199399171,2013-10-28
13778114,2013,839,40.08810878150355,10.756014529429876,2013-10-04
789380757,2015,341,59.193669037197616,100.04960520364716,2015-07-06
555629327,2013,2052,-0.6062160743583845,-0.0852832267229391,2013-07-02
555629327,2013,668,20.62657444308809,-0.2825946072843207,2013-12-02
555629327,2013,2151,3.046042841997462,-1.9278078757066333,2013-04-18
555629327,2013,2728,6.356546997728925,-1.3973990328981143,2013-02-18
555629327,2013,350,-0.0284391017229744,1.6595726412879317,2013-11-02
555629327,2013,1544,-1.0324083769755,20.66219599499168,2013-04-02
555629327,2013,549,8.562322357794105,0.5285103393965693,2013-04-18
555629327,2013,327,49.0586551747778,66.411838739388,2013-08-02
555629327,2014,1544,21.10802933305658,-0.535439964195948,2014-09-24
555629327,2014,327,67.55047671339995,88.17692821212947,2014-07-24
555629327,2015,798,9.663483505683912,-0.8443145682061642,2015-07-04
555629327,2015,350,1.8133110815967963,88.82399457935466,2015-01-30
555629327,2015,837,-0.4274424795401291,11.186216739161676,2015-10-04
555629327,2015,327,88.03785798684532,0.9122719499032488,2015-03-30
155257697,2016,202,-0.0241287526403442,99.98139862211104,2016-10-16
155257697,2016,215,100.81774168589806,0.0385898634069087,2016-07-16
477014025,2016,336,0.9984934638838848,100.36966525471662,2016-02-14
936946450,2016,797,-0.6863937171910781,99.05990550375404,2016-07-19
936946450,2017,144,1.883384034939896,21.492598880446,2017-06-12
936946450,2017,447,1.1670241817318685,29.003899501113903,2017-09-12
936946450,2017,1261,-0.9585766302245716,48.85522687109896,2017-03-12
736207319,2014,812,0.452548864918918,9.32372128201728,2014-02-07
736207319,2014,254,99.58694437523002,89.38866992310462,2014-12-07
736207319,2018,812,9.129528989902251,-1.6903472270566042,2018-11-01
736207319,2018,1852,-0.5671094548924546,8.112237454772021,2018-07-01
569102406,2015,20,40.40875481631623,98.95933382140308,2015-09-13
569102406,2015,1519,59.70037508409638,1.1198337195995285,2015-10-13
164756503,2013,2119,100.2287336834038,1.26263812427288,2013-02-13
164756503,2013,2465,-0.0281608476963245,99.9036928403567,2013-08-13
552651300,2014,982,40.14558515123595,86.85144241134688,2013-05-02
552651300,2014,860,29.950609723280728,5.9823625040121,2013-06-02
552651300,2014,2013,30.17501321519496,6.956800425641584,2013-01-02
815878087,2015,679,90.4621339384142,-1.5772440386277735,2015-11-20
815878087,2015,2473,-0.0980336790409005,0.5336096914855952,2015-01-20
815878087,2015,2351,9.74629349670994,0.4678853544822574,2015-11-20
815878087,2015,592,0.6948241936553345,100.42355941049208,2015-04-20
961342330,2016,381,90.8175198202262,100.2751505404719,2016-05-31
702865981,2018,1917,9.462132726008148,0.6141414179170084,2018-12-18
702865981,2018,114,89.58854884828256,-0.6480657420512163,2018-08-18
702865981,2018,97,0.0218121279413865,100.10164955999788,2018-09-18
574628572,2018,638,0.5601819554513886,100.58520790978882,2018-02-16
574628572,2018,623,41.15920894725774,-0.3006011327067742,2018-04-16
574628572,2018,1393,59.86444279801948,-0.6924369129476708,2018-01-16
574628572,2018,638,-0.4105027344946736,98.67273518847112,2018-03-15
574628572,2018,623,39.09865566588991,-1.4023285664245668,2018-08-15
574628572,2018,1393,61.07414872346185,1.9248036845902945,2018-07-15
1086151159,2017,751,5.958697664207983,4.507900498401588,2017-12-04
1086151159,2017,1879,13.256558933665916,12.959484224764369,2017-01-04
1086151159,2017,1282,12.44970168195831,14.64201736991725,2017-11-04
1086151159,2018,594,15.052338810992486,-0.6254802488934699,2018-12-09
1086151159,2018,2275,19.97009088031888,0.0668204831251271,2018-04-09
1086151159,2018,751,5.632835951313661,-0.0982938287677092,2018-07-09
1086151159,2018,593,21.108321267171423,-0.7938267638020925,2018-01-09
1086151159,2018,2268,15.471030754174793,0.1736329198132902,2018-05-09
1086151159,2018,1282,12.659303382192066,-0.120428005031456,2018-03-09
1086151159,2018,1879,12.073587564881263,0.929909895619448,2018-11-09
1086151159,2018,2044,-0.5171970888071729,101.1520069084604,2018-02-09
1155247007,2016,1170,90.47455554530872,97.52285412319416,2016-06-01
1155247007,2016,2667,9.619115797657404,-1.475366589520094,2016-10-01
2126661,2015,715,18.933582784554545,18.8295716188789,2015-09-09
2126661,2015,663,27.825563390062264,30.041510764319423,2015-04-09
2126661,2014,2588,21.162029970872016,-0.1193048916373761,2014-03-02
2126661,2014,722,0.1521648371378583,19.84648116158092,2014-07-02
443270860,2014,1912,-0.4940746589017591,101.18843369649976,2014-08-09
138139524,2015,1381,29.068835455731893,1.7481428663667573,2015-11-07
138139524,2015,2201,-0.1597479712871497,30.88586808130301,2015-01-07
138139524,2014,2140,29.580560068971216,0.5139625534875283,2014-09-20
138139524,2014,2139,70.12980130027066,-0.597813222538999,2014-01-20
138139524,2014,514,-0.3302691218513818,69.3654673912342,2014-05-20
138139524,2014,1381,-2.172997795877087,31.45551764350558,2014-09-20
566716001,2016,1412,88.63268495715326,98.84135046175962,2016-10-20
566716001,2016,1414,10.004395713830272,-0.9100892451204964,2016-08-20
46754004,2016,685,99.12968059391896,0.0593959543541328,2016-03-24
992465766,2015,1942,38.43142027397867,101.7326439789395,2015-07-07
992465766,2015,2224,28.015759422645004,0.3528540119059432,2015-10-07
992465766,2015,1346,29.16448929724624,1.4474128219877982,2015-08-07
727076239,2017,177,2.0144114056705438,1.1968351407197104,2017-07-11
727076239,2017,2254,95.57752209969736,76.40019806088144,2017-09-11
727076239,2017,2215,4.527322567039367,-1.6696735902775364,2017-02-11
727076239,2017,513,0.1303014206177224,7.283156030870847,2017-11-11
727076239,2017,2076,-0.5133559967152085,5.4982449442332335,2017-09-11
727076239,2017,1799,0.6448005694042025,7.3573857822440925,2017-10-11
842601360,2014,102,48.14908597533614,52.12565962821904,2014-03-18
123542618,2016,2507,0.443830187724536,0.4078879027893701,2015-03-01
838492028,2014,2364,11.464493478981549,-0.9348205976769765,2015-10-06
838492028,2014,2365,10.066577669263378,0.524029314602902,2015-10-06
838492028,2014,1140,81.78368812854005,-1.6517325743433535,2015-04-06
838492028,2018,1174,0.855627509763356,-2.314198948036806,2018-10-27
838492028,2018,1833,0.5502281284079298,-0.0280624119761655,2018-01-27
643924098,2015,2400,9.785495428851725,-0.8227618196347515,2015-11-01
643924098,2015,1686,0.1719594808045376,10.366254969786809,2015-10-01
643924098,2016,2397,89.38577409521231,-1.4538230434021362,2017-02-22
643924098,2016,2424,-0.6968659800563274,100.70472262952948,2017-04-22
643924098,2016,1686,9.09088026112144,-0.67708865993544,2017-06-22
643924098,2016,449,-1.3128910039939017,0.6440120062222606,2017-08-22
770821655,2014,655,-1.3661629918522125,97.82494015292887,2014-11-02
770821655,2014,777,-0.8087033963529924,1.501454558110781,2014-03-02
770821655,2018,1417,-0.3212515710553004,98.95260211733248,2018-03-11
284484051,2015,2112,27.759449965260917,0.8578699895370723,2015-11-01
284484051,2015,2245,70.82076135814854,-1.7996276166100582,2015-11-09
284484051,2015,2285,0.6977639565164114,101.22459206214742,2015-01-01
284484051,2015,2567,71.6565226094172,0.7368746416039827,2015-04-01
284484051,2015,2567,0.2011596169324926,73.24742345863294,2015-07-09
284484051,2016,1333,-0.3624469708360516,100.12129735113868,2016-02-29
284484051,2016,2285,100.53994438019092,-0.6737521513772272,2016-02-29
284484051,2016,1333,70.23297108848926,-1.0569218810650498,2016-07-19
284484051,2016,1333,101.30268164232216,70.7089534781014,2016-05-07
284484051,2016,987,29.77977869576808,-1.2097239007276148,2016-04-19
284484051,2016,2248,-0.3232527020610872,30.6667966362843,2016-10-19
284484051,2016,2260,1.2258293655447234,71.33577753642072,2016-05-19
284484051,2016,987,0.2025734603651269,27.467108219034237,2016-10-07
284484051,2017,1333,0.7171336329018783,100.10225661495716,2016-09-30
284484051,2017,2248,0.141061279823142,28.187458396308838,2016-12-19
284484051,2017,987,28.346522523306334,-0.0044260398762411,2016-03-19
284484051,2017,1333,71.15291658076056,0.4382377061746867,2016-01-19
284484051,2017,2285,99.77648040828524,-0.2144044012645716,2016-09-30
284484051,2017,987,0.3130723767167587,31.142420104489936,2016-03-07
284484051,2017,2285,-0.2617382425874415,70.9461972356255,2017-02-17
284484051,2017,2260,-0.2215472620729296,70.90735007576207,2016-04-19
284484051,2017,1333,98.3491773944409,70.01763734920955,2016-02-07
284484051,2017,296,2.425753220594064,30.72953138463961,2017-02-17
1028531518,2018,1896,80.21597913570531,-0.4855109741137769,2019-09-26
1028531518,2018,404,19.47101697157355,-0.5914016570382427,2019-07-26
983963171,2018,766,68.66490436696054,30.152016678718464,2018-09-26
983963171,2018,628,29.798645676221987,69.45213384603392,2018-03-26
130237444,2018,1741,1.070162322592588,51.72345790712858,2018-12-05
130237444,2018,1887,49.65195228603508,0.6246371229011219,2018-03-05
130237444,2018,1017,-1.0806614392245315,48.62633146516321,2018-08-05
130237444,2018,1273,50.447129003004,0.9470885477785652,2018-03-05
766391861,2016,610,50.90489813239306,23.882197023870848,2016-02-07
766391861,2016,1281,50.758033936253874,24.68996921972821,2016-10-07
556931102,2015,1166,49.61228412974564,49.1398469121757,2016-03-01
556931102,2015,2272,51.39077238409158,51.13081186763527,2016-03-01
834264380,2015,2238,0.0699077495985435,99.4289276699564,2015-04-28
1208312381,2017,2124,-0.9458927507216488,20.411748628158904,2017-10-27
1208312381,2017,557,18.212714892539424,-0.1593282807356631,2017-11-27
95926854,2014,1814,0.6450887117059766,61.23638161564875,2014-11-21
95926854,2014,635,60.80496332886236,0.7260349860635595,2014-05-21
667453278,2018,324,2.280345390760582,2.16631564263984,2018-10-25
667453278,2018,132,49.41620329020979,98.33245441153812,2018-08-25
837237594,2015,252,0.0084889101512879,40.05462282205667,2015-06-21
837237594,2015,2676,0.179261440721682,40.0952096813461,2015-12-21
837237594,2015,1972,9.465266009359055,19.207865726697012,2015-03-21
837237594,2015,251,89.52796534945998,0.0099688137086875,2015-01-21
714492796,2013,2674,49.90568395936924,50.60093058923604,2013-11-08
714492796,2013,1473,49.09529138166831,48.817292438260566,2013-09-08
393529853,2017,1326,-0.4133200408775781,99.61997739616714,2017-04-27
393529853,2017,80,99.98483719041448,1.8625941044281025,2017-07-27
185788468,2013,1204,3.843370344648652,-1.051727749462421,2013-02-26
546141373,2013,2516,40.42235274849427,0.694903686976384,2013-08-31
546141373,2013,2138,-1.62713216216527,101.4247504824942,2013-10-31
546141373,2013,2136,1.659399455229811,59.13697891219423,2013-09-25
546141373,2013,2137,60.95271546847782,-1.2967714561686925,2013-03-25
546141373,2013,2136,60.27182653004823,-0.6302694129208021,2013-03-31
839764982,2016,137,-0.1596871976602275,91.7121049474558,2016-08-04
839764982,2016,1231,89.08453267838703,-0.0080101447329204,2016-01-04
839764982,2018,2145,11.217353160916032,1.230344643898474,2018-06-11
839764982,2018,2077,0.6279142146988737,11.07346576492204,2018-10-11
839764982,2018,137,89.07718306545871,89.83030807287054,2018-06-11
69056627,2017,1453,-1.6107098639801771,8.050531315805925,2017-11-21
69056627,2017,40,0.5742516238212416,-0.9036772325720576,2017-08-21
69056627,2017,2108,8.301049718905368,1.243142914594801,2017-08-21
401087436,2015,976,3.85740114048937,0.1455452473867441,2015-03-12
401087436,2015,2106,95.05542525907386,59.83555090239757,2015-01-12
401087436,2015,1995,-0.3184493200866131,39.48810502473109,2015-12-12
1086417627,2014,101,33.33930017155466,0.6899527957714253,2014-04-17
1086417627,2014,1584,1.1669902120645723,91.8801207869996,2014-02-17
1086417627,2014,2312,32.75678104363776,-0.6720767531016337,2014-01-17
1086417627,2014,1580,-1.3571113051026429,9.266700113868293,2014-05-17
1086417627,2014,847,35.24642879178,-0.7112763277954075,2014-07-17
1044138027,2016,2074,71.63848026746855,-0.3181784271871544,2016-01-28
1044138027,2016,2257,-0.361126067540761,98.44345826395876,2016-11-28
1044138027,2016,550,29.24582055630066,-0.1644698489563457,2016-09-28
1073542190,2016,2433,41.0932618990532,-0.3332386396293506,2016-04-16
406704808,2013,2061,80.4192276509712,92.699731872937,2013-02-02
406704808,2013,714,20.24239218800197,6.390870417621683,2013-10-02
516287023,2016,499,68.36021262787288,79.60720584824361,2016-08-23
516287023,2016,270,6.195319198807627,1.7414111271228183,2016-12-23
516287023,2016,297,3.441024728209151,-0.8905804156830515,2016-03-23
516287023,2016,1357,1.698837933698397,-0.5301529189122142,2016-12-23
516287023,2018,46,20.593815383077544,-2.369095417535729,2018-06-30
516287023,2018,687,-2.044168047706465,20.466829170371238,2018-06-30
899842500,2018,522,-0.8587402858142101,102.5338794777586,2018-06-17
661526755,2014,2616,-0.928308266062633,11.1224831409783,2014-10-04
661526755,2014,2479,90.4713089105847,89.91496435337295,2014-01-04
11826214,2018,41,52.32865743934675,1.2985697947528498,2018-09-30
11826214,2018,871,14.845129356201038,0.0385053787568947,2018-06-30
11826214,2018,146,23.445715828161404,-0.2279561907312518,2018-10-30
207210491,2016,2592,61.81250443374071,-3.1680166338869413,2016-05-26
207210491,2016,2528,18.803211355649736,-0.5916911973518583,2016-03-26
207210491,2016,442,16.680636868369305,100.08544180474344,2016-08-26
818420099,2015,2223,89.67610981870571,98.54172322140631,2015-09-25
818420099,2015,2220,-0.0443519240817502,-0.5375823230845653,2015-07-25
808471480,2015,1212,30.70611018089336,41.605218536746186,2015-10-16
704679891,2016,2333,60.01642772337514,1.6121493199633774,2016-10-30
704679891,2016,2283,38.51035215076545,88.3918762474429,2016-08-30
704679891,2016,986,-0.2450691475808131,11.019181774328151,2016-05-30
381667187,2014,2444,-0.2120710498060067,50.30500786404183,2014-12-30
381667187,2014,686,1.304430842144941,50.61398265336012,2014-04-30
432923310,2015,560,-0.7215806574108925,10.576995453875965,2015-01-29
432923310,2015,2411,10.727841868006118,-0.4458579237530143,2015-05-29
360000965,2016,1743,1.0709813758980429,7.62759641200104,2016-04-19
360000965,2016,824,-1.5965197941404854,6.767098612516824,2016-01-19
360000965,2016,949,-1.024533430985325,19.175859120730337,2016-12-19
360000965,2016,861,0.1013557186512223,1.9142634847545856,2016-12-19
360000965,2016,1550,84.71629217508203,61.94889277512802,2016-04-19
364342086,2018,3,-0.2456562761103867,99.29136699507188,2018-02-13
794800752,2018,2492,22.68953989252954,30.77378045311136,2019-12-21
794800752,2018,2556,81.22599071780314,70.72105313110877,2019-02-21
217914890,2015,86,1.649163613230313,3.484584528507485,2015-08-09
217914890,2015,111,14.370808154722685,0.4867323327844286,2015-10-09
217914890,2015,87,85.41498301163185,93.67952073486788,2015-03-09
948104384,2016,1871,-0.2316464235213386,51.424347330320906,2016-12-05
948104384,2016,1015,50.09976127538073,0.3449281167700963,2016-08-13
948104384,2016,1269,2.0455336325625657,49.36688791140099,2016-12-03
948104384,2016,1676,50.91701357807628,-1.7264437195476157,2016-02-03
507836275,2018,1162,1.031608171828618,0.0042419658430985,2018-11-25
507836275,2018,2672,99.2723239355919,79.96530407715805,2018-04-25
507836275,2018,369,1.264236577799,8.093244696334192,2018-01-25
507836275,2018,770,-0.0631000232869102,10.017356981695167,2018-03-25
981042316,2015,913,0.8408296027490811,50.9008942781419,2015-04-02
1213253226,2015,472,98.64452272088342,-0.0085064174126842,2015-05-31
1213253226,2015,639,-1.3942421218788958,98.94028729337192,2015-05-31
179960664,2014,2166,20.10990384234631,15.064886877037786,2015-02-15
179960664,2014,308,30.42957137051198,50.12838846092541,2015-03-15
179960664,2014,758,6.645162398772279,1.82847429091105,2015-03-15
179960664,2014,2338,19.97885261168845,16.061454843292456,2015-07-15
179960664,2014,843,21.928802273877643,15.912847633994414,2015-03-15
628764983,2014,1564,0.7490736259508013,23.710245243562778,2014-02-27
628764983,2014,620,33.81185702633178,10.745446760071587,2014-01-27
628764983,2014,199,33.13815957620029,1.1313732171156354,2014-05-27
628764983,2014,989,0.1774595413611323,31.24721663602556,2014-10-27
873339738,2015,551,79.00142941007041,69.89933382490554,2015-11-11
873339738,2015,1897,18.666558048662,0.4076433599366798,2015-10-11
873339738,2015,2436,-0.4766684436897876,32.35387589196215,2015-01-11
1027388863,2016,489,49.34761779921078,-0.7987952114860037,2016-04-30
1027388863,2016,1794,51.65583369525217,100.93536050770854,2016-06-30
70915199,2018,2155,49.38908670720481,30.10937756228979,2018-07-16
70915199,2018,2531,1.5316855027163483,30.046195953106853,2018-12-16
70915199,2018,2168,47.99704585698092,39.88306468221725,2018-09-16
550415772,2015,2396,19.282365060670024,-0.8813255336628448,2015-07-20
21555543,2016,1153,20.362267928898312,20.325579903827204,2014-11-01
21555543,2016,2327,28.70653644268008,28.45983397857664,2014-03-01
45220215,2017,1929,-0.7306152435745935,50.08335445430826,2017-05-12
45220215,2017,998,-0.3787214645844788,50.25108429538341,2017-01-12
569610500,2018,1177,1.0504749108256108,30.68794432174661,2018-03-13
62236164,2015,606,22.92196908492714,-1.6840862911130574,2014-06-01
62236164,2015,502,61.44432552488914,10.266124054384758,2014-10-01
62236164,2015,502,60.11672428792859,38.69389560836751,2014-03-01
62236164,2014,502,60.67255350135611,37.43446638004163,2014-12-01
62236164,2014,502,58.78291419177838,8.497243066012787,2014-07-01
62236164,2014,606,19.11837768851412,0.4694413568197699,2014-04-01
62236164,2016,602,28.479392873698707,70.29827941920067,2016-04-11
62236164,2016,606,-0.2636598394669586,30.1256032544162,2016-05-11
1060468172,2015,2078,32.22597721472386,-0.7323232939956046,2015-06-11
1060468172,2015,1954,70.84004630372709,100.751561160073,2015-10-11
535903321,2017,2548,49.7117631721724,38.56451538986903,2017-01-30
535903321,2017,2523,0.2494763547230779,38.81878825844716,2017-10-30
535903321,2017,322,-0.8443060969825986,18.356013399818867,2017-07-30
