entid,region_id,entertype_tax,industry_tax,registertype,economic_type,incometax_rate,collection_type,EMPNUM,year
498426938,68,,2.0,8,48,0.25,1,,
498426938,68,,,8,182,,2,3.0,2016.0
498426938,68,,,8,182,,2,3.0,2016.0
498426938,68,,,8,182,,2,3.0,2015.0
1099944224,112,0.0,2.0,19,55,0.25,0,2.0,
1099944224,112,,,19,210,,2,3.0,2016.0
1099944224,112,,,19,210,,2,3.0,2015.0
720719528,70,0.0,2.0,5,56,0.25,1,,
720719528,73,,,8,210,,2,1.0,2016.0
643346326,91,,,19,206,,2,2.0,2016.0
643346326,91,,,19,206,,2,2.0,2015.0
1121546990,112,0.0,2.0,19,55,0.25,0,1.0,
448253308,112,0.0,2.0,19,67,0.25,1,,
362523435,114,0.0,2.0,19,55,0.25,0,1.0,
362523435,114,,,19,212,,2,3.0,2016.0
654589853,121,0.0,2.0,19,55,0.25,0,3.0,
654589853,121,,,19,211,,2,2.0,2016.0
668158638,112,0.0,2.0,19,55,0.25,0,1.0,
14658789,154,,,8,211,,2,5.0,2016.0
14658789,154,,,8,211,,2,5.0,2015.0
31354588,114,,,19,222,,2,3.0,2016.0
92124617,75,,,19,221,,2,3.0,2016.0
1011014592,114,0.0,2.0,19,55,0.25,0,1.0,
265543412,117,0.0,2.0,8,63,0.25,1,,
507043244,118,0.0,2.0,19,55,0.25,0,2.0,
507043244,118,,,19,210,,2,2.0,2016.0
507043244,118,,,19,210,,2,2.0,2015.0
153234185,119,,2.0,8,55,0.25,1,,
153234185,119,,,8,211,,2,2.0,2016.0
153234185,119,,,8,211,,2,3.0,2015.0
153234185,119,,,8,211,0.25,2,3.0,2017.0
876474681,89,,,19,206,,2,2.0,2016.0
1118845943,123,,,19,211,,2,5.0,2016.0
310206872,67,,,27,168,,2,2.0,2016.0
310206872,67,,,27,168,,2,2.0,2015.0
1024186033,152,,,8,234,0.25,2,15.0,2017.0
1102913507,125,0.0,2.0,8,67,0.25,0,,
94628547,75,,,19,222,,2,3.0,2016.0
94628547,75,,,19,222,,2,3.0,2015.0
800149315,107,,,8,206,,2,1.0,2016.0
649944968,124,0.0,2.0,8,66,0.25,0,,
649944968,124,,,8,221,,2,2.0,2016.0
798162,142,0.0,2.0,8,56,0.25,1,,
798162,142,0.0,2.0,8,56,0.25,1,3.0,
1154191793,72,0.0,2.0,8,61,0.25,0,,
1154191793,90,,,8,211,,2,3.0,2016.0
1154191793,72,,,8,211,,2,3.0,2015.0
1154191793,72,,,8,211,0.25,2,3.0,2017.0
1098183164,69,,,8,211,,2,2.0,2016.0
1098183164,69,,,8,211,,2,3.0,2015.0
1098183164,69,,,8,211,0.25,2,2.0,2017.0
517353431,89,,,8,211,,2,3.0,2016.0
187884675,112,0.0,2.0,19,55,0.25,0,2.0,
187884675,112,,,19,211,,2,1.0,2016.0
187884675,112,,,19,211,,2,2.0,2015.0
187884675,112,,,19,211,0.25,2,2.0,2017.0
10698350,140,,,8,210,,2,2.0,2016.0
784543149,121,,2.0,8,53,0.25,1,,
1156237838,69,,,8,210,,2,2.0,2016.0
1123914320,69,,2.0,8,52,0.25,1,,
1123914320,69,,,8,194,,2,2.0,2016.0
1123914320,69,,,8,194,,2,1.0,2015.0
1123914320,69,,,8,194,0.25,2,1.0,2017.0
173425626,149,,,19,210,,2,3.0,2016.0
173425626,149,,,19,210,0.25,2,5.0,2017.0
408031260,119,,,19,210,,2,2.0,2016.0
408031260,119,,,19,210,,2,2.0,2015.0
15146892,121,,,8,211,,2,2.0,2016.0
455558271,161,0.0,2.0,23,76,0.25,0,,
455558271,161,,,23,222,,2,1.0,2016.0
455558271,161,,,23,222,,2,1.0,2015.0
455558271,161,,,23,222,0.25,2,1.0,2017.0
1022501713,165,0.0,2.0,19,74,0.25,0,8.0,
1022501713,167,,,19,238,,2,9.0,2016.0
1022501713,167,,,19,238,,2,5.0,2015.0
1022501713,167,,,19,238,0.25,2,9.0,2017.0
1187165635,177,0.0,2.0,19,55,0.25,0,18.0,
1187165635,180,,,19,206,,2,18.0,2016.0
1187165635,180,,,19,206,,2,26.0,2015.0
1187165635,180,,,19,206,0.25,2,21.0,2017.0
165029844,165,0.0,2.0,19,76,0.25,0,6.0,
165029844,166,,,19,238,,2,3.0,2016.0
760232610,165,0.0,2.0,8,34,0.25,0,8.0,
760232610,168,,,8,222,,2,8.0,2016.0
191207011,177,0.0,2.0,19,50,0.25,0,1.0,
191207011,186,,,19,192,,2,8.0,2016.0
70578920,186,0.0,2.0,19,55,0.25,0,1.0,
70578920,186,,,19,221,,2,8.0,2016.0
70578920,186,,,19,221,,2,8.0,2015.0
70578920,186,,,19,187,0.25,2,1.0,2017.0
515804857,176,,,8,206,,2,5.0,2016.0
1197260202,186,0.0,2.0,19,55,0.25,0,6.0,
1197260202,186,,,19,221,,2,6.0,2016.0
1197260202,186,,,19,221,,2,8.0,2015.0
1197260202,186,,,19,187,0.25,2,5.0,2017.0
353587921,184,,,19,222,,2,5.0,2016.0
10711834,191,0.0,2.0,19,55,0.25,0,5.0,
10711834,191,,,19,222,,2,5.0,2016.0
223377099,173,1.0,2.0,19,23,0.25,1,,
223377099,174,,,19,141,,2,1.0,2016.0
223377099,174,,,19,141,,2,2.0,2015.0
223377099,174,,,19,141,0.25,2,1.0,2017.0
908247590,175,,,19,222,,2,3.0,2016.0
1057654777,174,,,8,206,,2,2.0,2016.0
1057654777,176,,,8,206,,2,,2015.0
485154649,198,0.0,2.0,8,41,0.25,0,27.0,
485154649,198,,,8,172,,2,27.0,2016.0
485154649,198,,,8,172,,2,4.0,2015.0
485154649,198,,,8,172,0.25,2,27.0,2017.0
1090847978,186,1.0,2.0,9,38,0.25,0,202.0,
1090847978,186,,,10,168,,2,202.0,2016.0
1080539525,173,0.0,2.0,8,56,0.25,0,2.0,
1080539525,174,,,19,206,,2,2.0,2016.0
1080539525,176,,,8,206,,2,,2015.0
1080539525,176,,,19,206,0.25,2,2.0,2017.0
95898023,173,0.0,2.0,19,67,0.25,0,1.0,
95898023,174,,,19,222,,2,1.0,2016.0
95898023,176,,,19,222,,2,,2015.0
122404006,218,0.0,2.0,8,50,0.25,0,25.0,
122404006,218,,,19,192,,2,10.0,2016.0
122404006,218,,,19,192,,2,10.0,2015.0
122404006,218,,,19,192,0.25,2,6.0,2017.0
1139378624,212,0.0,2.0,19,56,0.25,0,26.0,
1139378624,208,,,19,206,,2,22.0,2016.0
1139378624,208,,,19,206,,2,15.0,2015.0
1139378624,212,,,19,206,0.25,2,10.0,2017.0
78281172,222,0.0,2.0,19,55,0.25,0,,
78281172,222,,,19,206,,2,2.0,2016.0
78281172,222,,,19,211,,2,2.0,2015.0
951648892,252,0.0,2.0,19,56,0.25,0,10.0,
951648892,252,,,19,206,,2,10.0,2016.0
951648892,252,,,19,206,,2,10.0,2015.0
951648892,252,,,8,206,0.25,2,1.0,2017.0
1048179815,224,,,20,170,,2,2.0,2016.0
1048179815,225,,,9,170,,2,2.0,2015.0
919000691,222,0.0,2.0,19,23,0.25,0,,
919000691,222,,,19,133,,2,2.0,2016.0
919000691,221,,,19,133,,2,3.0,2015.0
919000691,221,,,19,133,0.25,2,2.0,2017.0
644394656,227,,,19,222,,2,3.0,2016.0
644394656,223,,,19,222,,2,3.0,2015.0
644394656,223,,,19,222,0.25,2,3.0,2017.0
1227147497,268,0.0,2.0,8,55,0.25,0,,
1227147497,261,,,8,211,,2,5.0,2016.0
1227147497,261,,,8,211,0.25,2,5.0,2017.0
651615212,245,0.0,2.0,19,56,0.25,0,4.0,
651615212,245,,,8,222,,2,2.0,2016.0
651615212,242,,,8,222,0.25,2,4.0,2017.0
1111922976,227,0.0,2.0,9,55,0.25,0,,
1111922976,227,,,15,168,,2,200.0,2016.0
1111922976,223,,,9,222,,2,200.0,2015.0
1111922976,223,,,15,168,0.25,2,17.0,2017.0
406101516,235,,,8,206,,2,2.0,2016.0
406101516,235,,,8,206,,2,2.0,2015.0
1132585533,266,0.0,2.0,8,41,0.25,0,,
1132585533,260,,,6,172,,2,3.0,2016.0
1132585533,260,,,8,172,,2,3.0,2015.0
1132585533,260,,,6,172,0.25,2,33.0,2017.0
828831767,224,0.0,2.0,19,55,0.25,0,,
828831767,224,,,19,211,,2,3.0,2016.0
828831767,225,,,19,211,,2,3.0,2015.0
828831767,225,,,19,211,0.25,2,3.0,2017.0
322323136,239,0.0,2.0,8,56,0.25,0,2.0,
679680967,252,,,19,206,0.25,2,6.0,2017.0
955929116,249,0.0,2.0,8,49,0.25,0,,
955929116,249,,,8,192,,2,1.0,2016.0
955929116,251,,,8,192,,2,4.0,2015.0
955929116,251,,,8,192,0.25,2,1.0,2017.0
201054148,252,0.0,2.0,8,55,0.25,0,,
201054148,252,,,8,206,,2,10.0,2016.0
201054148,252,,,8,206,,2,10.0,2015.0
201054148,252,,,8,206,0.25,2,1.0,2017.0
1152308541,258,0.0,2.0,8,56,0.25,0,5.0,
1152308541,258,,,8,206,,2,6.0,2016.0
1152308541,258,,,8,206,,2,6.0,2015.0
322394797,277,0.0,2.0,8,51,0.25,0,31.0,
322394797,277,,,8,193,,2,12.0,2016.0
322394797,277,,,8,193,,2,12.0,2015.0
322394797,277,,,8,193,0.25,2,1.0,2017.0
1115273959,281,0.0,2.0,8,22,0.25,0,,
1115273959,281,0.0,2.0,8,22,0.25,0,,
1115273959,281,,,8,211,,2,3.0,2016.0
1115273959,281,,,8,119,,2,3.0,2015.0
1115273959,281,,,8,124,0.25,2,3.0,2017.0
786961077,282,0.0,2.0,19,19,0.25,1,,
786961077,282,,,8,119,,2,11.0,2016.0
786961077,282,,,19,119,,2,10.0,2015.0
786961077,283,,,8,119,0.25,2,10.0,2017.0
966950408,288,0.0,2.0,9,36,0.25,0,,
966950408,288,,,10,168,,2,80.0,2016.0
966950408,288,,,9,168,,2,80.0,2015.0
856331759,331,,,19,119,,2,2.0,2016.0
856331759,331,,,5,119,,2,,2015.0
856331759,331,,,8,119,0.25,2,2.0,2017.0
335693175,316,,,8,170,,2,3.0,2016.0
1087381924,305,0.0,2.0,8,74,0.25,0,9.0,
1087381924,305,,,8,238,,2,3.0,2016.0
1087381924,305,,,6,238,,2,,2015.0
1087381924,305,,,8,238,0.25,2,2.0,2017.0
39306954,340,1.0,2.0,1,44,0.25,0,30.0,
39306954,345,,,1,176,,2,30.0,2016.0
39306954,345,,,1,176,,2,30.0,2015.0
620500307,344,0.0,1.0,19,14,0.25,0,,
620500307,344,,,19,110,,2,5.0,2016.0
620500307,344,,,19,110,0.25,2,2.0,2017.0
40212297,339,,,15,172,,2,5.0,2016.0
40212297,339,,,15,172,0.25,2,6.0,2017.0
615613250,300,,,8,230,0.25,2,4.0,2017.0
79532710,316,0.0,2.0,8,49,0.25,0,,
79532710,320,,,8,192,,2,5.0,2016.0
79532710,320,,,8,192,,2,5.0,2015.0
79532710,320,,,8,192,0.25,2,3.0,2017.0
831141326,311,0.0,2.0,19,27,0.25,1,,
861969081,309,0.0,2.0,19,55,0.25,0,12.0,
861969081,309,,,19,206,,2,10.0,2016.0
861969081,309,,,19,206,,2,,2015.0
861969081,309,,,19,206,0.25,2,1.0,2017.0
440892289,329,0.0,2.0,5,50,0.25,0,5.0,
440892289,333,,,8,192,,2,4.0,2016.0
440892289,333,,,5,192,,2,,2015.0
465287457,300,0.0,2.0,19,27,0.25,0,,
465287457,300,,,19,146,,2,1.0,2016.0
465287457,300,,,19,146,,2,15.0,2015.0
803399659,365,0.0,2.0,8,67,0.25,0,,
803399659,365,,,8,222,,2,2.0,2016.0
803399659,365,,,8,222,,2,2.0,2015.0
1141344782,365,,,8,222,,2,2.0,2016.0
570077886,366,,,8,211,,2,3.0,2016.0
676479940,365,0.0,2.0,8,55,0.25,0,1.0,
676479940,367,,,8,206,,2,8.0,2016.0
676479940,367,,,8,206,,2,8.0,2015.0
676479940,367,,,8,206,0.25,2,1.0,2017.0
837743488,365,0.0,2.0,8,50,0.25,0,,
837743488,365,,,8,192,,2,1.0,2016.0
837743488,365,,,8,192,,2,1.0,2015.0
837743488,365,,,8,192,0.25,2,1.0,2017.0
993295834,365,,,8,206,,2,3.0,2016.0
993295834,365,,,8,206,,2,3.0,2015.0
376483949,365,0.0,2.0,8,49,0.25,0,2.0,
376483949,366,,,8,193,,2,3.0,2016.0
702990878,365,0.0,2.0,8,55,0.25,0,1.0,
702990878,366,,,8,216,,2,6.0,2016.0
775549241,375,,,8,192,,2,5.0,2016.0
775549241,375,,,8,192,,2,5.0,2015.0
775549241,375,,,8,192,0.25,2,1.0,2017.0
199732240,365,0.0,2.0,8,53,0.25,0,,
199732240,365,,,8,195,,2,2.0,2016.0
199732240,365,,,8,195,,2,2.0,2015.0
451175570,365,,,8,238,,2,10.0,2016.0
451175570,365,,,8,238,,2,10.0,2015.0
451175570,365,,,8,245,0.25,2,2.0,2017.0
530649537,365,0.0,2.0,8,20,0.25,0,2.0,
572538608,365,0.0,2.0,8,50,0.25,0,,
532398636,365,0.0,2.0,8,61,0.25,0,,
532398636,365,,,8,211,,2,2.0,2016.0
532398636,365,,,8,211,,2,2.0,2015.0
532398636,365,,,8,211,0.25,2,1.0,2017.0
346671211,365,0.0,2.0,8,53,0.25,0,,
346671211,365,,,8,195,,2,3.0,2016.0
346671211,365,,,8,195,,2,3.0,2015.0
346671211,365,,,8,245,0.25,2,1.0,2017.0
448795585,365,0.0,,8,51,0.25,0,3.0,
448795585,365,,,8,193,,2,3.0,2016.0
1031716664,365,0.0,2.0,8,55,0.25,0,2.0,
1031716664,367,,,8,210,,2,10.0,2016.0
1031716664,367,,,8,210,,2,10.0,2015.0
1031716664,367,,,8,210,0.25,2,1.0,2017.0
150680780,365,,,8,192,,2,2.0,2016.0
150680780,365,,,8,192,,2,2.0,2015.0
95375757,365,,,8,192,,2,5.0,2016.0
95375757,365,,,8,192,,2,2.0,2015.0
95375757,365,,,8,192,0.25,2,10.0,2017.0
115726514,367,,,8,211,,2,3.0,2016.0
1082407313,365,0.0,2.0,8,76,0.25,0,,
1082407313,365,,,8,238,,2,13.0,2016.0
1082407313,365,,,8,238,,2,5.0,2015.0
1082407313,365,,,8,245,0.25,2,9.0,2017.0
787246286,365,0.0,2.0,8,50,0.25,0,,
787246286,365,,,8,192,,2,8.0,2016.0
787246286,365,,,8,192,,2,7.0,2015.0
787246286,365,,,8,192,0.25,2,9.0,2017.0
793823151,365,0.0,2.0,8,53,0.25,0,,
793823151,365,,,8,195,,2,3.0,2016.0
793823151,365,,,8,195,,2,3.0,2015.0
21495398,365,,,8,222,,2,3.0,2016.0
268673627,370,0.0,2.0,8,81,0.25,0,,
268673627,370,,,8,244,,2,13.0,2016.0
268673627,370,,,8,244,,2,3.0,2015.0
268673627,370,,,8,244,0.25,2,13.0,2017.0
370733758,366,,,15,155,0.25,2,1.0,2017.0
1194652581,365,0.0,1.0,8,12,0.25,0,,
1194652581,365,,,8,104,,2,1.0,2016.0
1194652581,365,,,8,104,,2,1.0,2015.0
189837841,365,,,8,174,,2,4.0,2016.0
189837841,365,,,8,174,,2,4.0,2015.0
189837841,365,,,8,174,0.25,2,2.0,2017.0
1136409037,365,0.0,2.0,8,67,0.25,0,,
1136409037,365,,,8,222,,2,2.0,2016.0
1136409037,365,,,8,222,,2,2.0,2015.0
301743547,365,0.0,2.0,8,67,0.25,0,,
301743547,365,,,8,222,,2,6.0,2016.0
301743547,365,,,8,222,,2,6.0,2015.0
159915398,362,0.0,2.0,8,49,0.25,0,1.0,
159915398,362,,,8,192,,2,0.0,2016.0
159915398,362,,,8,192,,2,2.0,2015.0
228182297,367,,,8,211,,2,1.0,2016.0
228182297,367,,,8,211,,2,5.0,2015.0
228182297,367,,,8,211,0.25,2,2.0,2017.0
222738122,365,0.0,2.0,8,49,0.25,0,1.0,
222738122,366,,,8,192,,2,10.0,2016.0
222738122,366,,,8,192,,2,10.0,2015.0
222738122,366,,,8,192,0.25,2,7.0,2017.0
338094005,370,0.0,2.0,19,53,0.25,0,,
338094005,370,,,19,195,,2,5.0,2016.0
338094005,370,,,19,195,,2,5.0,2015.0
617917621,375,,,8,192,,2,3.0,2016.0
617917621,375,,,8,192,,2,3.0,2015.0
617917621,375,,,8,192,0.25,2,1.0,2017.0
1174164290,184,,,19,209,,2,5.0,2016.0
1174164290,184,,,19,209,0.25,2,1.0,2017.0
559056077,365,0.0,2.0,8,51,0.25,0,,
559056077,365,,,8,193,,2,2.0,2016.0
559056077,365,,,8,193,,2,2.0,2015.0
234672002,365,,,8,238,,2,3.0,2016.0
234672002,365,,,8,238,,2,3.0,2015.0
218481195,367,,,8,192,0.25,2,3.0,2017.0
26019577,377,,,8,192,,2,11.0,2016.0
26019577,376,,,8,192,,2,11.0,2015.0
519478266,365,,,8,222,,2,2.0,2016.0
616014124,365,0.0,2.0,8,67,0.25,0,,
616014124,365,,,8,222,,2,2.0,2016.0
616014124,365,,,8,222,,2,2.0,2015.0
1059635469,372,0.0,2.0,8,50,0.25,0,,
1059635469,376,,,8,192,,2,6.0,2016.0
1059635469,376,,,8,192,,2,6.0,2015.0
1059635469,376,,,8,192,0.25,2,1.0,2017.0
945761891,365,0.0,2.0,8,67,0.25,0,,
945761891,365,,,8,222,,2,3.0,2016.0
945761891,365,,,8,222,,2,3.0,2015.0
210467886,365,0.0,2.0,8,67,0.25,0,,
210467886,365,,,8,222,,2,1.0,2016.0
210467886,365,,,8,222,,2,1.0,2015.0
210467886,365,,,8,222,0.25,2,2.0,2017.0
699829806,365,0.0,2.0,8,67,0.25,0,,
699829806,365,,,8,222,,2,10.0,2016.0
699829806,365,,,8,222,,2,10.0,2015.0
699829806,365,,,8,222,0.25,2,10.0,2017.0
28115559,365,0.0,2.0,8,50,0.25,0,,
28115559,365,,,8,192,,2,3.0,2016.0
28115559,365,,,8,192,,2,3.0,2015.0
746663171,68,0.0,2.0,8,60,0.25,0,1.0,
746663171,68,,,8,210,,2,3.0,2016.0
746663171,68,,,8,210,,2,3.0,2015.0
559337070,176,,,19,208,0.25,2,1.0,2017.0
1131393327,67,0.0,2.0,8,66,0.25,0,,
1131393327,67,,,8,221,,2,2.0,2016.0
1124643599,67,0.0,2.0,19,23,0.25,0,6.0,
1124643599,67,,,19,126,,2,6.0,2016.0
1073389175,72,0.0,2.0,8,61,0.25,0,,
117440828,68,0.0,2.0,8,23,0.25,0,2.0,
117440828,68,,,8,132,,2,2.0,2016.0
327606212,89,0.0,2.0,19,23,0.25,0,2.0,
327606212,89,,,19,144,,2,2.0,2016.0
527542236,3,0.0,2.0,20,306,0.25,0,2.0,
527542236,3,,,20,1026,,2,2.0,2016.0
527542236,3,,,20,1026,0.25,2,1.0,2017.0
53777500,7,,,29,1072,,2,5.0,2016.0
53777500,7,,,29,1018,,2,5.0,2015.0
514677781,10,0.0,2.0,9,417,0.25,0,1.0,
514677781,10,,,9,1244,,2,8.0,2016.0
514677781,10,,,9,1244,,2,8.0,2015.0
514677781,10,,,9,1244,0.25,2,8.0,2017.0
294105257,5,0.0,2.0,20,425,0.25,0,1.0,
294105257,5,,,20,1253,,2,3.0,2016.0
294105257,3,,,20,1253,,2,3.0,2015.0
469249278,10,0.0,2.0,9,258,0.25,0,1.0,
469249278,10,,,9,1006,,2,2.0,2016.0
469249278,10,,,9,1016,,2,2.0,2015.0
469249278,8,,,20,1006,0.25,2,2.0,2017.0
