entid,MEMNNUM,FARNUM,ANNNEWMEM,ANNREDMEM,ANCHEYEAR
741642233,7,10.0,0.0,1.0,2015
741642233,6,8.0,5.0,3.0,2017
1078969713,14,14.0,5.0,6.0,2015
1078969713,13,7.0,1.0,9.0,2014
1078969713,11,12.0,6.0,1.0,2017
1078969713,7,12.0,6.0,9.0,2016
1111359214,11,13.0,7.0,0.0,2015
1111359214,8,7.0,6.0,1.0,2016
1111359214,6,14.0,3.0,8.0,2017
1111359214,7,12.0,4.0,6.0,2013
1111359214,12,9.0,2.0,5.0,2014
545892203,6,5.0,9.0,3.0,2014
545892203,9,7.0,4.0,1.0,2017
545892203,13,18.0,11.0,1.0,2016
545892203,9,10.0,9.0,5.0,2015
583191066,8,,,,2015
583191066,5,,,,2014
583191066,17,10.0,4.0,6.0,2017
583191066,2,10.0,8.0,3.0,2016
1038008011,10,12.0,8.0,4.0,2016
1038008011,10,13.0,1.0,7.0,2017
946255845,34,31.0,2.0,6.0,2017
946255845,82,79.0,4.0,4.0,2016
100065848,13,,5.0,10.0,2013
100065848,16,,2.0,6.0,2014
100065848,15,,0.0,2.0,2016
100065848,4,4.0,2.0,1.0,2017
100065848,14,,5.0,6.0,2015
789208443,17,15.0,2.0,2.0,2016
789208443,13,8.0,3.0,6.0,2015
789208443,15,16.0,8.0,6.0,2014
789208443,11,13.0,8.0,2.0,2017
196618454,7,12.0,4.0,4.0,2015
196618454,13,9.0,0.0,2.0,2014
196618454,6,9.0,6.0,5.0,2016
443137246,9,1.0,5.0,2.0,2014
443137246,5,8.0,6.0,2.0,2015
443137246,8,12.0,0.0,7.0,2016
443137246,11,9.0,3.0,9.0,2017
836448228,14,14.0,4.0,3.0,2015
836448228,19,14.0,8.0,8.0,2014
836448228,16,8.0,4.0,8.0,2016
836448228,14,13.0,7.0,7.0,2017
1081069278,55,51.0,5.0,8.0,2014
1081069278,35,38.0,1.0,8.0,2017
1081069278,12,7.0,5.0,5.0,2016
1081069278,15,16.0,9.0,7.0,2015
923084733,22,,5.0,5.0,2016
923084733,6,2.0,5.0,9.0,2017
1157707647,10,5.0,8.0,3.0,2017
1157707647,10,10.0,4.0,2.0,2016
1157707647,10,8.0,2.0,5.0,2014
1157707647,7,6.0,7.0,5.0,2015
931657521,17,19.0,5.0,4.0,2017
931657521,9,14.0,9.0,1.0,2015
931657521,9,10.0,8.0,5.0,2014
931657521,10,13.0,7.0,6.0,2016
1220850302,6,10.0,5.0,0.0,2014
1220850302,13,14.0,9.0,6.0,2016
1220850302,13,5.0,3.0,6.0,2015
1220850302,6,14.0,5.0,4.0,2017
910606065,11,10.0,2.0,4.0,2015
910606065,12,12.0,5.0,5.0,2014
910606065,14,10.0,9.0,6.0,2016
549903142,12,11.0,0.0,0.0,2016
549903142,5,5.0,3.0,4.0,2014
549903142,9,14.0,5.0,8.0,2017
549903142,5,5.0,5.0,1.0,2015
202383006,11,14.0,1.0,1.0,2014
202383006,14,7.0,0.0,0.0,2017
202383006,6,7.0,3.0,4.0,2015
202383006,6,12.0,7.0,2.0,2016
1014013036,12,14.0,0.0,9.0,2015
1014013036,9,9.0,9.0,5.0,2016
1014013036,14,8.0,2.0,9.0,2017
1014013036,22,26.0,2.0,2.0,2014
1142430152,11,13.0,3.0,7.0,2016
1142430152,11,17.0,6.0,2.0,2015
31433441,100,95.0,6.0,0.0,2017
31433441,91,99.0,1.0,8.0,2016
209666410,11,16.0,5.0,5.0,2016
209666410,16,10.0,6.0,0.0,2017
209666410,4,2.0,5.0,9.0,2015
209666410,13,14.0,3.0,2.0,2014
818633038,6,13.0,0.0,1.0,2017
818633038,1,5.0,7.0,4.0,2016
818633038,6,11.0,1.0,9.0,2014
818633038,11,9.0,7.0,2.0,2015
501123552,9,6.0,4.0,6.0,2015
501123552,9,10.0,5.0,5.0,2017
501123552,10,7.0,7.0,2.0,2014
501123552,5,7.0,5.0,3.0,2016
1046206454,7,12.0,8.0,8.0,2015
1046206454,12,12.0,6.0,5.0,2014
1046206454,8,8.0,6.0,3.0,2016
1046206454,10,7.0,3.0,0.0,2017
945726753,52,54.0,8.0,9.0,2014
945726753,19,14.0,5.0,1.0,2015
945726753,30,26.0,15.0,11.0,2017
945726753,20,29.0,9.0,4.0,2016
130158179,10,14.0,1.0,6.0,2014
130158179,16,9.0,5.0,9.0,2015
736872976,24,19.0,0.0,2.0,2014
736872976,13,3.0,1.0,4.0,2015
743695385,10,7.0,7.0,1.0,2014
743695385,3,2.0,1.0,1.0,2015
46306095,12,9.0,1.0,3.0,2014
46306095,14,13.0,5.0,8.0,2015
598854091,8,6.0,0.0,7.0,2017
207715512,7,7.0,9.0,5.0,2015
207715512,13,12.0,2.0,1.0,2016
347604803,11,10.0,3.0,5.0,2014
347604803,9,9.0,9.0,5.0,2015
347604803,14,9.0,1.0,7.0,2016
803268941,5,6.0,2.0,6.0,2016
803268941,13,6.0,7.0,7.0,2017
895605368,6,11.0,4.0,1.0,2016
895605368,13,5.0,8.0,7.0,2015
895605368,5,14.0,9.0,1.0,2017
67264605,11,12.0,6.0,0.0,2016
67264605,10,17.0,2.0,10.0,2017
286283900,14,9.0,7.0,5.0,2015
286283900,24,17.0,9.0,8.0,2014
286283900,13,14.0,8.0,5.0,2017
286283900,15,10.0,3.0,2.0,2016
873122057,124,129.0,5.0,3.0,2017
873122057,127,122.0,7.0,7.0,2016
873122057,122,,,,2015
873122057,128,,,,2014
1094959028,15,14.0,1.0,0.0,2016
1094959028,12,21.0,6.0,2.0,2017
526155060,22,28.0,0.0,0.0,2014
526155060,18,22.0,6.0,2.0,2016
526155060,27,22.0,7.0,4.0,2015
526155060,23,23.0,0.0,9.0,2017
603068318,7,12.0,0.0,0.0,2016
603068318,11,11.0,0.0,8.0,2017
901842948,10,6.0,5.0,9.0,2017
901842948,8,10.0,9.0,2.0,2018
443137246,9,9.0,1.0,3.0,2018
27194775,12,6.0,6.0,6.0,2017
738963419,6,5.0,5.0,2.0,2017
738963419,7,10.0,2.0,9.0,2018
499144172,12,17.0,2.0,8.0,2017
763529552,14,5.0,4.0,9.0,2018
763529552,9,7.0,9.0,1.0,2017
291507927,8,15.0,8.0,8.0,2017
291507927,14,11.0,3.0,6.0,2018
309115288,10,10.0,9.0,8.0,2018
986206434,10,7.0,6.0,8.0,2018
986206434,5,7.0,3.0,1.0,2017
848138725,13,9.0,8.0,9.0,2018
848138725,9,6.0,2.0,8.0,2017
999188308,19,14.0,4.0,3.0,2017
61871703,6,14.0,2.0,4.0,2017
61871703,14,5.0,5.0,5.0,2018
1161049216,14,10.0,8.0,8.0,2017
1161049216,14,11.0,6.0,8.0,2018
484092040,9,7.0,0.0,1.0,2017
78986550,12,5.0,5.0,8.0,2018
78986550,10,12.0,9.0,8.0,2017
790581983,6,6.0,9.0,3.0,2017
1033127649,8,12.0,1.0,2.0,2017
1033127649,10,5.0,4.0,4.0,2018
484092040,13,13.0,7.0,9.0,2018
27194775,13,10.0,9.0,9.0,2018
309115288,11,11.0,6.0,0.0,2017
361976282,10,15.0,3.0,6.0,2017
361976282,12,15.0,2.0,5.0,2018
790677122,6,14.0,6.0,9.0,2017
790677122,8,11.0,1.0,3.0,2018
196406353,14,7.0,4.0,3.0,2018
207715512,7,12.0,2.0,7.0,2018
207715512,14,5.0,4.0,7.0,2017
347604803,10,13.0,7.0,1.0,2017
347604803,6,9.0,8.0,3.0,2018
1227845909,10,5.0,4.0,7.0,2018
46306095,7,10.0,3.0,6.0,2017
553061350,4,0.0,5.0,0.0,2017
496937231,15,13.0,9.0,0.0,2018
496937231,11,15.0,4.0,1.0,2017
862503712,10,5.0,1.0,4.0,2017
862503712,5,5.0,3.0,9.0,2018
736872976,6,4.0,6.0,7.0,2017
736872976,11,5.0,0.0,5.0,2018
743695385,70,74.0,7.0,7.0,2017
743695385,7,14.0,0.0,9.0,2018
637469812,14,16.0,8.0,6.0,2017
317176006,13,8.0,6.0,2.0,2017
317176006,10,8.0,4.0,6.0,2018
1188274904,19,15.0,0.0,2.0,2018
1188274904,16,16.0,9.0,4.0,2017
575423642,13,11.0,5.0,1.0,2018
575423642,7,8.0,7.0,2.0,2017
1116097177,9,7.0,4.0,0.0,2018
1116097177,7,15.0,1.0,0.0,2017
671461191,5,2.0,1.0,4.0,2017
671461191,5,14.0,4.0,3.0,2018
95372180,5,7.0,1.0,4.0,2018
95372180,12,7.0,2.0,6.0,2017
104104541,46,45.0,4.0,8.0,2018
347752212,14,10.0,8.0,8.0,2017
434366847,23,28.0,8.0,2.0,2017
434366847,23,29.0,7.0,5.0,2018
523353840,11,14.0,1.0,0.0,2017
523353840,10,8.0,9.0,2.0,2018
20689540,9,14.0,7.0,2.0,2018
20689540,10,11.0,2.0,1.0,2017
130158179,9,11.0,8.0,6.0,2018
130158179,17,10.0,2.0,5.0,2017
736068225,7,13.0,1.0,7.0,2017
1094959028,29,26.0,5.0,5.0,2018
923084733,23,17.0,5.0,0.0,2018
1035196264,128,127.0,8.0,9.0,2018
598854091,11,13.0,1.0,2.0,2018
