entid,honor_num,illegad_num,yea_sub,web_dum,ENTTYPE,INDUSTRYPHY,REGCAP,REGCAPCUR,RECCAP,PARNUM,LIMPARNUM,PARFORM,EXENUM,brand_num,cancel_dum,certificate_num,tax_dum
1127446955,,,,0,3,11,3000.0,156.0,0.0,,,,0.0,,1,,0
307832564,,,,0,5,11,10.0,156.0,0.0,,,,,,0,,0
77287261,,,,0,5,11,1000.0,156.0,0.0,,,,,,0,,0
48139721,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0
420128370,,,,0,5,11,10.0,156.0,10.0,,,,0.0,,0,,0
1026610675,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0
708296085,,,,0,5,11,1000.0,156.0,0.0,,,,0.0,,0,,0
198645614,,,,1,3,11,66.0,156.0,66.0,,,,,,0,1.0,0
1132229515,,,,0,5,10,50.0,156.0,0.0,,,,0.0,,1,,0
434369652,,,,0,3,9,2000.0,156.0,0.0,,,,,,0,,0
770023067,,,,0,3,11,300.0,156.0,0.0,,,,0.0,,0,,0
320426589,,,,0,19,11,0.0,,0.0,,,,,,0,,0
1020595851,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0
720509517,,,,0,3,8,3.0,156.0,3.0,,,,0.0,,0,,0
885727648,,,,0,5,11,300.0,156.0,0.0,,,,0.0,,0,,0
75056894,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0
100233421,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0
362903000,,,,0,6,2,1000.0,156.0,1000.0,,,,0.0,,0,1.0,0
885686552,,,,0,17,11,0.0,,0.0,,,,,,0,,0
919169251,,,,0,5,11,10.0,156.0,10.0,,,,,,0,,0
841541151,,,,0,3,11,10.0,156.0,10.0,,,,0.0,,0,,0
201608143,,,,0,5,10,200.0,156.0,0.0,,,,0.0,,0,,0
915092028,,,,0,3,11,500.0,156.0,500.0,,,,0.0,,1,,0
210383067,,,,0,3,11,1000.0,156.0,10.0,,,,,,0,,0
38245912,,,,0,5,9,180.0,156.0,0.0,,,,,,1,,0
254014915,,,,0,3,8,11.0,156.0,11.0,,,,0.0,,0,,0
8485337,,,,0,3,9,1000.0,156.0,1000.0,,,,0.0,,0,,0
140245352,,,,0,5,11,100.0,156.0,100.0,,,,,,0,,0
195815638,,,,0,5,11,10.0,156.0,10.0,0.0,0.0,,0.0,,0,,0
407546436,,,,0,5,11,300.0,156.0,0.0,,,,0.0,,0,,0
94136991,,,,0,22,11,,,0.0,,,,0.0,,0,,0
140640476,,,,0,5,11,50.0,156.0,50.0,,,,0.0,,1,,0
380336498,,,,0,5,11,10.0,156.0,10.0,,,,0.0,,0,,0
725175640,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0
1066891061,,,,0,5,11,2000.0,156.0,0.0,,,,0.0,,1,,0
327107238,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0
590470593,,,,0,17,12,0.0,,0.0,,,,,,0,,0
884908859,,,,0,5,11,100.0,156.0,0.0,,,,0.0,,0,,0
245720891,,,,0,5,11,500.0,156.0,0.0,,,,,,0,,0
669744226,,,,0,3,11,50.0,156.0,0.0,,,,0.0,,0,,0
1201794855,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0
760576075,,,,0,5,11,500.0,156.0,0.0,,,,,,0,,0
1113540454,,,,0,3,11,3000.0,156.0,0.0,,,,,,0,,0
372210897,,,,0,7,11,2000.0,156.0,2000.0,,,,,,0,,0
343600466,,,,0,5,11,100.0,156.0,0.0,,,,,,0,,0
716930547,,,,0,5,11,2.0,156.0,0.0,,,,,,0,,0
282610525,,,,0,5,11,20.0,156.0,0.0,,,,,,0,,0
498426938,,,,0,5,11,100.0,156.0,100.0,,,,0.0,,0,,0
279005699,,,,0,5,11,1000.0,156.0,0.0,,,,0.0,,0,,0
1099944224,,,,0,17,11,,,0.0,,,,0.0,,0,,0
720719528,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0
231491791,,,,0,13,11,1000.0,156.0,0.0,,,,0.0,,0,,0
1224360866,,,,0,5,11,50.0,156.0,0.0,,,,0.0,,0,,0
643346326,,,,0,3,11,30.0,156.0,0.0,,,,0.0,,0,,0
1121546990,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0
448253308,,,,0,3,11,3.0,156.0,3.0,,,,0.0,,0,,0
425886436,,,,0,25,9,0.0,,0.0,,,,0.0,,0,1.0,0
1179072556,,,,0,27,9,0.0,,0.0,,,,,,0,1.0,0
362523435,,,,0,3,11,5000.0,156.0,0.0,,,,,,0,,0
333853715,,,,0,3,11,8.0,156.0,8.0,,,,0.0,,0,,0
978827451,,,,0,8,11,2000.0,156.0,0.0,,,,,,0,,0
1215158860,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0
654589853,,,,0,5,11,5000.0,156.0,0.0,,,,0.0,,0,,0
836910852,,,,0,8,11,10000.0,156.0,0.0,,,,,,0,,0
668158638,,,,0,3,11,3.0,156.0,0.0,,,,0.0,,0,,0
14658789,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0
31354588,,,,0,3,11,12.0,156.0,12.0,,,,0.0,,0,,0
92124617,,,,0,5,11,100.0,156.0,0.0,,,,0.0,,0,,0
1011014592,,,,0,3,11,5.0,156.0,0.0,,,,0.0,,0,,0
315057141,,,,0,17,11,,,0.0,,,,0.0,,0,,0
265543412,,,,0,3,11,30.0,156.0,30.0,,,,0.0,,0,,0
507043244,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
153234185,,,,0,3,11,3.0,156.0,3.0,,,,0.0,,0,,0
225803089,,,,0,5,11,400.0,156.0,0.0,,,,,,0,,0
876474681,,,,0,5,11,5000.0,156.0,0.0,,,,0.0,,0,,0
500860246,,,,0,39,9,0.0,156.0,0.0,0.0,0.0,,0.0,,0,,0
1118845943,,,,0,3,11,200.0,156.0,0.0,,,,,,0,,0
131069474,,,,0,5,11,3.0,156.0,0.0,,,,0.0,,0,,0
919821609,,,,0,5,11,500.0,156.0,0.0,,,,,,0,,0
310206872,,,,0,30,9,0.0,,0.0,,,,,,0,2.0,0
1024186033,,,,0,8,11,40000.0,156.0,0.0,,,,,,0,,0
1102913507,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0
94628547,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
603865048,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0
800149315,,,,0,5,11,15000.0,156.0,15000.0,,,,0.0,,0,,0
1178264308,,,,0,3,9,100.0,156.0,100.0,,,,0.0,,0,,0
649944968,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0
766344392,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0
1107666652,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
911243271,,,,0,3,11,5000.0,156.0,0.0,,,,0.0,,0,,0
933329028,,,,0,3,11,200.0,156.0,0.0,,,,,,0,,0
1113017293,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0
112231894,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
315091037,,,,0,5,11,10.0,156.0,10.0,,,,0.0,,0,,0
254160203,,,,1,57,9,0.0,156.0,0.0,,,,0.0,,0,1.0,0
798162,,,,0,3,11,20.0,156.0,20.0,,,,0.0,,0,,0
1154191793,,,,0,3,11,300.0,156.0,10.0,,,,0.0,,0,,0
1098183164,,,,0,3,9,200.0,156.0,0.0,,,,,,0,,0
517353431,,,,0,8,11,500.0,156.0,0.0,,,,0.0,,0,,0
187884675,,,,0,5,11,1.0,156.0,0.0,,,,,,0,,0
926777235,,,,0,3,11,500.0,156.0,100.0,,,,,,0,,0
10698350,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
652250551,,,,0,5,11,50.0,156.0,0.0,,,,0.0,,0,,0
462447349,,,,1,57,9,0.0,156.0,0.0,,,,0.0,,0,1.0,0
624471209,,,,0,5,11,10.0,156.0,0.0,,,,,,0,,0
672217675,,,,0,44,11,1000.0,156.0,0.0,,,,,,0,,0
784543149,,,,0,7,11,1000.0,156.0,1000.0,,,,0.0,,0,,0
393355112,,,,0,5,11,200.0,156.0,0.0,,,,,,0,,0
1156237838,,,,0,5,11,5.0,156.0,0.0,,,,,,0,,0
24139944,,,,0,3,11,10000.0,156.0,0.0,,,,0.0,,0,,0
1123914320,,,,0,3,11,3000.0,156.0,3000.0,,,,0.0,,0,,0
173425626,,,,0,5,11,500.0,156.0,0.0,,,,,,0,,0
807621140,,,,0,31,9,0.0,156.0,0.0,,,,,,0,2.0,0
885962709,,,,0,44,11,1000.0,156.0,0.0,,,,,,0,,0
614998892,,,,0,5,11,50.0,156.0,0.0,,,,0.0,,0,,0
408031260,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
577816325,,,,0,3,11,8000.0,156.0,0.0,,,,,,0,,0
715299087,,,,0,3,11,5000.0,156.0,0.0,,,,0.0,,0,,0
15146892,,,,0,3,12,500.0,156.0,0.0,,,,,,0,,0
995461959,,,,0,17,11,,156.0,0.0,,,,0.0,,1,,0
835862955,,,,0,5,9,10.0,156.0,0.0,,,,0.0,,0,,0
455558271,,,,0,54,11,10.18,840.0,10.18,,,,,,0,,0
1022501713,,,,0,3,11,2700.0,156.0,3000.0,,,,,,0,,0
1187165635,,,,0,3,5,1200.0,156.0,1200.0,,,,,,0,1.0,0
165029844,,,,0,3,11,9999.0,156.0,9999.0,,,,,,0,,0
760232610,,,,0,0,9,11800.0,156.0,11800.0,,,,,,0,1.0,0
191207011,,,,0,3,11,13060.0,156.0,13060.0,,,,,,0,,0
70578920,,,,0,3,9,16000.0,156.0,16000.0,,,,,,0,2.0,0
515804857,,,,0,0,11,100.0,156.0,100.0,,,,,,0,,0
1197260202,,,,0,3,11,10200.0,156.0,10200.0,,,,,,0,1.0,0
353587921,,,,0,17,10,0.0,156.0,,,,,,,0,,0
10711834,,,,0,3,9,10000.0,156.0,10000.0,,,,,,0,3.0,0
223377099,,,,0,5,5,10.0,156.0,10.0,,,,,,0,,0
908247590,,,,0,3,11,5000.0,156.0,5000.0,,,,,,0,,0
1057654777,,,,0,0,11,5000.0,156.0,5000.0,,,,,,0,,0
485154649,,,,0,46,11,12080.0,156.0,12080.0,,,,,,0,4.0,0
1090847978,,,,0,29,9,0.0,156.0,,,,,,,0,2.0,0
1080539525,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0
253310567,,,,0,29,9,0.0,156.0,,,,,,,0,1.0,0
95898023,,,,0,5,11,100.0,156.0,100.0,,,,,,0,,0
122404006,,,,0,3,10,1760.0,156.0,1760.0,,,,,,0,,0
1139378624,,,,1,3,11,6200.0,156.0,0.0,,,,,,0,,0
678912959,,,,0,3,11,4.5,156.0,4.5,0.0,0.0,9,0.0,,0,,0
78281172,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0
951648892,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0
1018283505,,,,0,22,11,0.0,,0.0,,,,,,0,,0
859307071,,,,0,44,9,805.0,156.0,0.0,,,,,,0,,0
1048179815,,,,1,31,9,0.0,,0.0,,,,,,0,,0
919000691,,,,0,3,5,100.0,156.0,0.0,,,,0.0,,0,,0
644394656,,,,0,5,11,50.0,156.0,0.0,,,,0.0,,0,,0
1227147497,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0
651615212,,,,0,17,11,0.0,156.0,0.0,,,,,,0,,0
1111922976,,,,0,33,11,0.0,,0.0,,,,0.0,,0,,0
878303695,,,,1,30,9,0.0,156.0,0.0,,,,,,0,,0
406101516,,,,0,7,11,2000.0,156.0,0.0,,,,,,0,,0
1132585533,,,,0,1,11,10000.0,156.0,1000.0,,,,,,0,,0
618578351,,,,0,3,11,3000.0,156.0,0.0,,,,0.0,,0,,0
828831767,,,,0,5,11,100.0,156.0,0.0,,,,0.0,,0,,0
322323136,,,,0,7,11,200.0,156.0,0.0,,,,0.0,,0,,0
114126067,,,,0,3,11,20.0,156.0,20.0,,,,0.0,,0,,0
679680967,,,,0,5,11,10000.0,156.0,0.0,,,,0.0,,0,,0
955929116,,,,0,6,10,3000.0,156.0,500.0,,,,,,0,,0
201054148,,,,0,7,11,200.0,156.0,200.0,,,,,,0,,0
1152308541,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0
322394797,,,,0,3,11,1200.0,156.0,120.0,,,,,,0,,0
1115273959,,,,0,5,11,500.0,156.0,500.0,,,,,,0,,0
828439901,,,,0,3,5,200.0,156.0,200.0,,,,,,1,,0
786961077,,,,0,8,10,1000.0,156.0,1000.0,,,,,,0,,0
243789405,,,,0,17,11,0.0,156.0,,,,,,,0,,0
966950408,,,,0,27,9,0.0,156.0,0.0,,,,,,0,3.0,0
856331759,,,,0,3,11,1000.0,156.0,500.0,,,,,,0,,0
147068138,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0
335693175,,,,0,24,9,0.0,,0.0,,,,,,0,,0
584402496,,,,0,21,9,0.0,,0.0,,,,,,0,1.0,0
187043215,,,,0,5,11,200.0,156.0,0.0,,,,0.0,,1,,0
1087381924,,,,0,7,11,31000.0,156.0,31000.0,,,,,,0,,0
39306954,,,,0,23,9,0.0,,0.0,,,,,,0,1.0,0
620500307,,,,0,3,11,1700.0,156.0,550.0,,,,,,0,,0
40212297,,,,0,9,12,5180.0,156.0,5180.0,,,,0.0,,0,,0
615613250,,,,1,3,11,3000.0,156.0,0.0,,,,,,0,,0
927152330,,,,1,17,11,0.0,,0.0,,,,0.0,,0,,0
79532710,,,,0,6,11,3000.0,156.0,3000.0,,,,,,0,,0
831141326,,,,0,3,1,500.0,156.0,500.0,,,,,,0,,0
861969081,,,,0,3,11,5000.0,156.0,2000.0,,,,,,0,,0
807448595,,,,0,46,5,50.0,156.0,50.0,,,,,,0,,0
440892289,,,,0,0,10,5000.0,156.0,5000.0,0.0,0.0,,0.0,,0,,0
465287457,,,,0,8,11,50000.0,156.0,50000.0,,,,,,0,,0
424537795,,,,0,32,9,,,0.0,1.0,0.0,1,0.0,,0,1.0,0
316088181,,,,0,3,8,2000.0,156.0,2000.0,,,,,,0,,0
280814108,,,,0,3,11,1000.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
803399659,,,,0,3,11,30.0,156.0,30.0,0.0,0.0,1,0.0,,0,,0
1141344782,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0
570077886,,,,0,15,9,0.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
676479940,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0
488975702,,,,0,3,10,1000.0,156.0,0.0,,,,,,0,,0
29767348,,,,0,3,11,100.0,156.0,0.0,1.0,0.0,1,0.0,,0,,0
837743488,,,,0,3,10,5000.0,156.0,5000.0,,,,,,0,,0
1024794959,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0
264061220,,,,0,3,13,100.0,156.0,100.0,,,,,,0,,0
993295834,,,,0,3,11,2000.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
376483949,,,,0,3,10,1000.0,156.0,1000.0,1.0,0.0,1,0.0,,0,,0
702990878,,,,0,8,10,1000.0,156.0,1000.0,,,,,,0,,0
775549241,,,,0,3,10,1000.0,156.0,1000.0,,,,,,0,,0
199732240,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0
1059460430,,,,0,8,10,10000.0,156.0,10000.0,,,,,,0,,0
29673727,,,,0,36,9,10000.0,156.0,3025.0,,,,,,0,,0
451175570,,,,0,7,11,1000.0,156.0,0.0,,,,,,0,,0
530649537,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0
118913554,,,,0,42,9,3000.0,156.0,0.0,1.0,0.0,1,0.0,,0,,0
572538608,,,,0,3,9,1000.0,156.0,1000.0,,,,,,0,,0
1150637501,,,,0,3,11,100.0,156.0,0.0,1.0,0.0,1,0.0,,0,,0
532398636,,,,0,5,11,100.0,156.0,100.0,,,,,,0,,0
154066294,,,,0,18,9,0.0,,0.0,1.0,0.0,1,0.0,,0,1.0,0
346671211,,,,0,3,10,1000.0,156.0,1000.0,,,,,,0,,0
881547330,,,,0,36,11,2500.0,156.0,2500.0,1.0,0.0,1,0.0,,0,,0
1220212463,,,,0,18,6,0.0,,0.0,1.0,0.0,1,0.0,,0,1.0,0
683960584,,,,0,55,11,1000.0,344.0,1000.0,1.0,0.0,1,0.0,,0,4.0,0
448795585,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0
1031716664,,,,0,3,11,2000.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
150680780,,,,0,3,10,100.0,156.0,0.0,,,,,,0,,0
95375757,,,,0,3,10,200.0,156.0,0.0,,,,,,0,,0
115726514,,,,0,3,11,500.0,156.0,0.0,,,,,,0,,0
910718749,,,,0,42,9,1000.0,156.0,0.0,,,,,,0,1.0,0
182347730,,,,0,34,5,1000.0,156.0,1000.0,1.0,0.0,1,0.0,,0,,0
1082407313,,,,0,3,13,1000.0,156.0,1000.0,,,,,,0,,0
870389928,,,,0,3,11,100.0,156.0,100.0,1.0,0.0,1,0.0,,0,,0
787246286,,,,0,7,10,10000.0,156.0,10000.0,,,,,,0,,0
545113005,,,,0,15,9,0.0,,0.0,,,,,,0,1.0,0
793823151,,,,0,8,10,1000.0,156.0,1000.0,,,,,,0,,0
21495398,,,,0,3,11,300.0,156.0,0.0,,,,,,0,,0
268673627,,,,0,3,16,100.0,156.0,100.0,,,,,,0,3.0,0
370733758,,,,0,37,5,500.0,156.0,500.0,,,,,,0,,0
602582151,,,,0,8,11,2000.0,156.0,0.0,,,,,,0,,0
1122732191,,,,0,33,9,,156.0,0.0,,,,,,0,1.0,0
1194652581,,,,0,17,12,0.0,156.0,0.0,1.0,0.0,1,0.0,,0,,0
669720279,,,,0,3,12,100.0,156.0,0.0,,,,,,0,,0
630988110,,,,0,15,8,0.0,,0.0,0.0,0.0,1,0.0,,0,,0
810358507,,,,0,3,9,1000.0,156.0,1000.0,1.0,0.0,1,0.0,,0,,0
189837841,,,,0,8,9,1000.0,156.0,300.0,,,,,,0,,0
1136409037,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0
541074519,,,,0,18,11,0.0,,0.0,1.0,0.0,1,0.0,,0,,0
373658414,,,,0,41,9,200.0,156.0,,,,,,,0,,0
401234206,,,,0,8,10,500.0,156.0,0.0,,,,,,0,,0
301743547,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0
159915398,,,,0,3,10,1109.0218,156.0,112.0,,,,,,0,,0
228182297,,,,0,3,9,100.0,156.0,0.0,,,,,,0,,0
222738122,,,,0,3,10,1000.0,156.0,1000.0,,,,,,0,,0
67448426,,,,0,22,9,0.0,156.0,,,,,,,0,,0
338094005,,,,0,5,10,50.0,156.0,50.0,1.0,0.0,1,0.0,,0,,0
617917621,,,,0,3,10,5000.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
744696426,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0
1174164290,,,,0,3,11,200.0,156.0,200.0,,,,,,0,,0
559056077,,,,0,3,10,1000.0,156.0,0.0,,,,,,0,,0
234672002,,,,0,3,11,100.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
218481195,,,,0,3,10,1000.0,156.0,0.0,,,,,,0,,0
26019577,,,,0,22,10,0.0,,0.0,1.0,0.0,1,0.0,,0,,0
1040633449,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0
519478266,,,,0,20,9,0.0,,0.0,0.0,0.0,1,0.0,,0,,0
616014124,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0
945522060,,,,0,34,2,5000.0,156.0,5000.0,,,,,,0,1.0,0
1059635469,,,,0,3,10,5000.0,156.0,0.0,,,,,,0,,0
945761891,,,,0,3,9,3000.0,156.0,3000.0,1.0,0.0,1,0.0,,0,,0
901165713,,,,0,34,10,2000.0,156.0,2000.0,1.0,0.0,1,0.0,,0,,0
210467886,,,,0,5,11,200.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
699829806,,,,0,3,10,100.0,156.0,100.0,,,,,,0,,0
28115559,,,,0,3,10,2000.0,156.0,2000.0,,,,,,0,,0
879756096,,,,0,3,10,1000.0,156.0,1000.0,,,,,,0,,0
967759172,,,,0,3,11,50.0,156.0,0.0,0.0,0.0,1,0.0,,0,,0
404262350,,,,0,57,7,0.0,156.0,0.0,,,,0.0,,0,,0
836459599,,,,0,3,9,100.0,156.0,100.0,,,,0.0,,0,,0
967178786,,,,0,5,17,100.0,,,,,,,,0,,0
572206069,,,,0,39,9,10.0,156.0,,,,,,,0,,0
1234551265,,,,0,22,9,0.0,,0.0,,,,,,0,,0
12226898,,,,0,42,17,15.0,,,,,,,,0,,0
1216488647,,,,0,9,9,14800.0,156.0,,,,,,,0,,0
1107265345,,,,0,3,17,100.0,,,,,,,,0,,0
855400778,,,,0,17,17,0.0,,,,,,,,0,,0
746663171,,,,0,3,9,2000.0,156.0,,,,,,,0,,0
549474254,,,,0,3,11,1000.0,156.0,,,,,,,0,,0
198997911,,,,0,3,17,10.0,,,,,,,,0,,0
545311681,,,,0,3,17,100.0,,,,,,,,0,,0
147928195,,,,0,17,17,0.0,,,,,,,,0,,0
281760299,,,,0,17,17,0.0,,,,,,,,0,,0
559337070,,,,0,17,11,0.0,156.0,0.0,,,,,,0,,0
