entid,ALTDATE,ALTTIME
982196289,2017-08-16,
982196289,2016-06-21,
982196289,2016-03-21,
982196289,2016-02-21,
982196289,2016-05-21,
982196289,2017-11-16,
982196289,2016-12-21,
982196289,2016-10-21,
982196289,2016-09-21,
982196289,2017-11-16,
982196289,2016-03-21,
982196289,2017-03-16,
982196289,2016-01-21,
210167448,2016-03-17,
210167448,2016-12-23,
210167448,2016-05-23,
210167448,2016-07-23,
210167448,2016-05-23,
210167448,2016-03-23,
210167448,2016-10-17,
210167448,2016-01-21,
210167448,2016-05-21,
210167448,2016-05-17,
210167448,2018-08-02,
210167448,2020-04-27,
210167448,2018-11-02,
210167448,2020-12-27,
332305361,2016-09-24,
332305361,2016-12-24,
332305361,2016-07-24,
332305361,2016-03-24,
1001226199,2015-03-03,
1001226199,2015-12-03,
1001226199,2015-04-03,
1001226199,2015-10-03,
1001226199,2015-01-03,
1001226199,2016-06-28,
1001226199,2015-09-03,
1001226199,2015-02-03,
1001226199,2015-02-03,
1001226199,2015-09-03,
1001226199,2015-09-03,
1190925362,2017-09-24,
1190925362,2017-12-24,
1190925362,2017-05-24,
252988494,2016-05-29,
252988494,2016-04-29,
252988494,2016-08-29,
944659388,2011-03-28,
944659388,2012-04-20,
944659388,2014-11-18,
944659388,2014-07-18,7.0
944659388,2014-02-18,
944659388,2012-04-20,6.0
944659388,2012-04-20,6.0
944659388,2012-12-20,6.0
944659388,2011-05-07,
944659388,2011-11-02,
944659388,2012-07-20,6.0
944659388,2014-06-18,7.0
944659388,2011-07-02,
944659388,2011-01-02,
944659388,2014-02-18,
944659388,2011-07-28,
944659388,2011-02-28,
944659388,2011-04-28,
944659388,2011-10-28,
944659388,2011-05-28,
944659388,2011-01-28,
944659388,2011-01-28,
944659388,2011-04-30,
944659388,2011-12-28,
944659388,2011-09-28,
944659388,2011-07-02,
944659388,2011-10-02,
944659388,2011-04-02,
944659388,2011-10-28,
944659388,2011-11-28,
944659388,2011-04-28,
944659388,2011-04-02,
944659388,2011-08-28,
944659388,2011-07-30,
944659388,2011-07-28,
944659388,2011-12-28,
944659388,2011-09-28,
944659388,2011-03-30,
944659388,2011-03-30,
944659388,2011-10-28,
944659388,2011-12-28,
944659388,2011-07-28,
944659388,2011-07-28,
944659388,2011-09-28,
944659388,2011-06-02,
944659388,2011-11-28,
944659388,2011-11-02,
944659388,2011-10-28,
944659388,2011-02-28,
944659388,2011-08-28,
944659388,2011-05-02,
944659388,2011-11-02,
944659388,2011-04-28,
944659388,2011-03-02,
944659388,2011-05-07,
944659388,2011-08-28,
944659388,2011-05-30,
944659388,2011-05-02,
944659388,2011-12-30,
944659388,2011-03-02,
944659388,2011-07-28,
944659388,2011-12-28,
944659388,2011-07-02,
944659388,2011-05-28,
944659388,2011-09-28,
944659388,2011-09-28,
944659388,2011-09-02,
944659388,2011-07-02,
944659388,2011-04-02,
944659388,2011-04-28,
944659388,2011-09-30,
944659388,2011-03-28,
944659388,2011-09-02,
944659388,2011-07-02,
944659388,2011-04-02,
944659388,2011-08-28,
944659388,2011-10-02,
944659388,2011-11-28,
944659388,2011-04-02,
944659388,2011-05-07,
944659388,2011-03-28,
944659388,2011-10-02,
944659388,2011-05-02,
944659388,2011-01-28,
944659388,2011-01-30,
944659388,2011-11-28,
944659388,2011-08-28,
944659388,2011-12-28,
944659388,2011-09-28,
944659388,2011-08-02,
944659388,2011-10-02,
944659388,2011-10-07,
944659388,2011-09-02,
944659388,2011-11-02,
944659388,2011-08-02,
944659388,2011-11-07,
944659388,2011-01-28,
944659388,2011-12-30,
777755253,2012-06-18,6.0
777755253,2007-12-28,
777755253,2004-09-30,
777755253,2012-12-18,6.0
777755253,2012-02-18,6.0
777755253,2004-10-09,
777755253,2012-02-18,6.0
777755253,2009-02-13,
777755253,2012-07-18,6.0
777755253,2012-08-18,6.0
777755253,2006-03-29,
777755253,2012-11-18,
777755253,2007-07-28,
777755253,2006-04-29,
777755253,2004-07-09,
777755253,2012-10-18,
777755253,2006-09-29,
777755253,2004-01-09,
777755253,2012-12-18,
777755253,2007-09-28,
777755253,2004-04-09,
777755253,2012-08-18,
777755253,2012-01-18,
777755253,2019-12-20,
640968401,2014-07-16,4.0
640968401,2015-04-25,
640968401,2014-01-08,3.0
640968401,2014-01-08,
640968401,2014-05-08,
640968401,2017-02-15,
640968401,2015-02-25,
640968401,2015-07-25,5.0
640968401,2014-02-08,
640968401,2009-05-29,
640968401,2015-07-25,
640968401,2014-04-08,
640968401,2014-10-08,
640968401,2015-06-25,
640968401,2015-10-25,
640968401,2014-08-08,3.0
640968401,2015-01-25,
640968401,2017-03-15,
640968401,2017-09-15,
640968401,2015-07-25,
640968401,2014-05-16,
640968401,2009-09-27,
640968401,2017-12-29,
640968401,2014-12-08,
640968401,2009-04-29,
640968401,2015-11-25,
640968401,2015-09-25,5.0
640968401,2015-11-25,
640968401,2014-06-08,
640968401,2017-01-29,
640968401,2017-11-29,
640968401,2017-03-29,
640968401,2017-03-15,
640968401,2009-10-29,
640968401,2009-05-27,
640968401,2009-04-27,
640968401,2009-08-27,
640968401,2009-09-27,
640968401,2009-05-27,
640968401,2009-08-29,
640968401,2009-09-29,
640968401,2009-06-29,
640968401,2009-01-27,
640968401,2009-11-27,
640968401,2009-05-27,
640968401,2009-09-29,
640968401,2009-05-27,
640968401,2009-06-27,
640968401,2009-02-27,
640968401,2009-10-27,
640968401,2009-12-29,
640968401,2009-05-27,
640968401,2009-08-29,
640968401,2009-08-29,
640968401,2009-03-27,
640968401,2009-02-27,
640968401,2009-03-27,
640968401,2009-02-28,
640968401,2009-04-27,
640968401,2009-08-27,
640968401,2009-03-27,
640968401,2009-04-27,
640968401,2009-05-27,
640968401,2009-01-29,
640968401,2009-08-29,
640968401,2009-11-29,
640968401,2009-11-27,
640968401,2009-11-29,
640968401,2009-01-27,
640968401,2009-11-27,
640968401,2009-08-27,
640968401,2009-07-29,
640968401,2009-01-27,
640968401,2009-11-29,
640968401,2009-04-29,
640968401,2009-07-29,
640968401,2009-09-27,
640968401,2009-09-27,
640968401,2009-05-27,
640968401,2009-07-29,
640968401,2009-04-29,
640968401,2009-03-27,
640968401,2018-05-29,
640968401,2018-01-29,
640968401,2018-08-29,
848068003,2015-10-09,1.0
109252429,2015-05-14,
109252429,2015-03-14,
109252429,2015-07-14,1.0
109252429,2015-09-14,1.0
763566074,2009-12-14,1.0
763566074,2009-04-14,
763566074,2009-10-14,
763566074,2012-12-04,
763566074,2012-06-14,
763566074,2010-02-20,
763566074,2012-11-04,4.0
763566074,2010-01-20,2.0
763566074,2010-11-20,
763566074,2012-05-14,
763566074,2010-04-20,
763566074,2012-07-14,
763566074,2012-10-14,
763566074,2012-10-14,
115339998,2012-04-23,1.0
115339998,2012-02-23,
215297274,2016-10-22,
225865950,2013-01-23,2.0
225865950,2013-05-23,2.0
225865950,2013-06-23,2.0
225865950,2012-01-30,1.0
225865950,2012-07-30,1.0
225865950,2013-02-23,2.0
225865950,2013-02-23,2.0
225865950,2013-08-23,2.0
225865950,2012-09-30,
225865950,2013-02-23,
225865950,2013-10-23,
225865950,2013-11-23,
225865950,2012-04-30,
225865950,2013-03-23,
85625020,2014-07-05,1.0
332412177,2016-12-08,
332412177,2016-12-08,
332412177,2016-12-08,
332412177,2016-09-08,
332412177,2016-09-08,
332412177,2016-10-08,
21702078,2016-02-28,
21702078,2016-11-28,
21702078,2016-11-28,
21702078,2016-07-28,
21702078,2016-06-28,
530658986,2015-06-30,
530658986,2015-02-28,
1036107901,2018-01-08,
1036107901,2018-01-08,
1036107901,2018-05-08,
1036107901,2018-08-08,
1036107901,2019-11-28,
1036107901,2019-06-28,
1036107901,2019-01-28,
1036107901,2019-02-28,
1094770755,2012-07-16,1.0
1094770755,2012-12-16,1.0
1094770755,2016-07-19,
1094770755,2016-09-19,
1094770755,2012-04-16,
1094770755,2016-11-19,2.0
1094770755,2012-01-16,1.0
1094770755,2012-11-16,
288764239,2013-01-02,1.0
288764239,2013-01-02,1.0
288764239,2013-08-02,1.0
398431409,2011-11-23,
398431409,2011-02-23,
398431409,2012-08-05,
398431409,2012-06-05,
398431409,2011-04-23,
398431409,2011-12-23,
1063012839,2013-09-22,
1187619116,2014-06-15,
1005387686,2015-01-14,
1005387686,2015-07-14,
460609992,2015-11-22,
854368587,2015-11-19,
146477661,2013-03-22,
146477661,2013-08-22,
146477661,2013-10-22,
812482882,2013-04-12,2.0
812482882,2013-10-12,2.0
812482882,2013-12-12,2.0
812482882,2013-06-12,2.0
812482882,2013-06-12,2.0
812482882,2009-03-24,
812482882,2013-11-12,2.0
812482882,2013-07-12,
812482882,2013-07-12,
893839911,2014-09-16,
893839911,2014-01-16,
893839911,2014-04-17,
893839911,2014-10-17,
893839911,2014-02-16,
893839911,2014-04-16,
307832564,2015-05-10,
307832564,2015-07-10,
420128370,2014-12-03,
420128370,2014-06-16,1.0
420128370,2014-08-03,
198645614,2013-05-06,1.0
198645614,2013-06-06,1.0
198645614,2013-03-06,1.0
198645614,2013-05-06,
198645614,2013-02-06,
198645614,2013-07-06,
198645614,2013-06-06,
434369652,2014-05-07,
434369652,2015-05-22,
434369652,2015-06-22,
434369652,2015-06-22,
434369652,2015-12-22,2.0
75056894,2014-12-01,1.0
75056894,2014-02-01,
75056894,2014-07-01,
362903000,2014-01-22,
362903000,2014-03-22,
362903000,2017-06-15,
362903000,2013-03-04,
362903000,2014-05-22,
362903000,2014-01-22,
362903000,2017-09-15,
362903000,2014-02-22,
362903000,2014-06-22,
362903000,2017-06-15,
362903000,2017-12-15,
362903000,2014-04-22,
362903000,2017-05-15,
362903000,2013-04-04,
362903000,2017-03-15,
362903000,2013-10-04,
362903000,2013-07-04,
362903000,2014-01-22,
362903000,2017-06-20,
362903000,2018-05-04,
362903000,2018-06-10,
362903000,2018-09-10,
362903000,2018-12-10,
362903000,2014-05-22,
841541151,2018-04-02,
841541151,2018-08-02,
841541151,2018-03-02,
841541151,2018-02-02,
915092028,2015-06-30,1.0
915092028,2015-12-31,
915092028,2015-12-31,1.0
915092028,2015-07-31,
915092028,2015-12-31,
210383067,2014-08-18,
210383067,2014-06-18,
210383067,2014-02-28,
210383067,2016-10-27,3.0
210383067,2014-01-18,1.0
210383067,2014-08-18,1.0
210383067,2014-02-18,
210383067,2016-07-27,
210383067,2016-08-27,
210383067,2016-03-27,
195815638,2013-06-28,
195815638,2013-05-28,2.0
195815638,2011-11-30,
195815638,2013-03-28,
195815638,2011-12-30,
195815638,2013-06-28,
407546436,2014-05-04,1.0
407546436,2014-10-04,
327107238,2017-12-02,
327107238,2017-11-10,
327107238,2017-01-10,
327107238,2017-12-02,
327107238,2017-08-02,
327107238,2017-09-10,
327107238,2012-04-10,
327107238,2012-03-17,
327107238,2012-09-10,
327107238,2012-12-13,
327107238,2012-01-10,
327107238,2012-08-13,
327107238,2012-06-17,
327107238,2012-11-10,
327107238,2012-12-13,
327107238,2012-04-10,
327107238,2017-04-10,
327107238,2017-09-02,
327107238,2017-10-02,
327107238,2017-06-10,
327107238,2017-04-02,
327107238,2017-02-10,
327107238,2017-12-10,
327107238,2012-06-13,0.0
327107238,2012-07-13,0.0
327107238,2012-08-13,0.0
327107238,2012-08-13,0.0
327107238,2012-05-10,0.0
327107238,2012-03-10,0.0
327107238,2012-04-17,0.0
327107238,2012-04-17,0.0
327107238,2012-12-17,0.0
327107238,2012-04-17,0.0
327107238,2012-09-17,0.0
327107238,2012-06-17,0.0
327107238,2012-06-17,0.0
327107238,2012-06-17,0.0
327107238,2012-11-17,0.0
327107238,2012-11-17,0.0
327107238,2012-07-17,0.0
327107238,2012-07-17,0.0
327107238,2012-05-17,0.0
327107238,2012-09-13,
327107238,2012-06-13,
1113540454,2015-12-10,
1113540454,2015-12-10,
372210897,2012-08-16,
372210897,2012-04-16,
372210897,2009-05-14,
372210897,2010-08-23,
372210897,2010-10-23,
372210897,2012-09-16,
372210897,2009-02-14,
372210897,2010-04-23,
372210897,2017-11-25,
372210897,2010-05-23,
372210897,2010-03-23,
372210897,2012-11-12,
372210897,2009-01-14,
372210897,2009-08-14,
372210897,2010-02-23,
372210897,2010-03-23,
372210897,2010-04-23,
372210897,2009-07-14,
372210897,2010-12-23,
372210897,2010-11-23,
372210897,2010-05-23,
372210897,2010-05-23,
372210897,2010-04-23,
372210897,2010-05-23,
372210897,2017-06-13,
372210897,2012-11-16,
372210897,2017-08-25,
372210897,2009-05-14,
372210897,2017-09-07,
372210897,2010-08-23,
372210897,2010-11-23,
372210897,2014-03-24,
372210897,2009-05-14,
372210897,2012-10-16,
372210897,2009-01-14,
372210897,2009-07-14,
372210897,2009-06-14,
372210897,2009-10-14,
372210897,2010-11-23,
372210897,2012-08-16,
372210897,2010-12-23,
372210897,2010-11-23,
372210897,2010-07-23,
372210897,2012-02-16,
372210897,2009-05-14,
372210897,2009-06-14,
372210897,2010-11-23,
372210897,2009-11-14,
372210897,2010-10-23,
372210897,2009-05-14,
372210897,2017-06-25,
372210897,2010-10-23,
372210897,2012-10-12,
372210897,2009-02-14,
372210897,2017-05-25,
372210897,2010-10-23,
372210897,2010-03-23,
372210897,2009-02-14,
372210897,2013-03-24,
372210897,2009-12-14,
372210897,2010-06-23,
372210897,2009-03-14,
372210897,2010-12-23,
372210897,2009-02-14,
372210897,2010-02-23,
372210897,2014-12-28,
372210897,2010-09-23,
372210897,2012-12-16,
372210897,2009-02-14,
372210897,2012-07-16,
372210897,2009-04-14,
372210897,2010-02-23,
372210897,2010-08-23,
372210897,2010-06-23,
372210897,2010-08-23,
372210897,2010-03-23,
372210897,2010-09-23,
372210897,2010-12-23,
372210897,2012-05-16,
372210897,2012-06-12,
372210897,2009-06-14,
372210897,2017-09-07,
372210897,2012-02-12,
372210897,2009-09-14,
372210897,2014-04-24,
372210897,2010-07-23,
372210897,2012-04-16,
372210897,2010-02-23,
372210897,2010-04-23,
372210897,2017-12-07,
372210897,2009-05-14,
372210897,2010-06-23,
372210897,2010-06-23,
372210897,2010-01-23,
372210897,2009-10-14,
372210897,2014-07-28,
372210897,2010-01-23,
372210897,2012-03-16,
372210897,2017-10-07,
372210897,2017-09-07,
372210897,2017-08-07,
372210897,2017-12-25,
372210897,2017-08-07,
372210897,2014-06-24,
372210897,2017-08-25,
372210897,2017-06-25,
372210897,2017-08-07,
372210897,2014-01-24,
372210897,2014-12-28,
372210897,2014-03-28,
372210897,2017-08-25,
372210897,2017-02-13,
372210897,2010-08-23,0.0
498426938,2013-08-06,
498426938,2013-12-06,
498426938,2013-11-06,
720719528,2013-06-27,
720719528,2013-01-27,
720719528,2013-08-27,1.0
720719528,2013-01-27,1.0
448253308,2013-02-28,
425886436,2015-05-14,
425886436,2015-06-14,
425886436,2015-10-14,
425886436,2015-12-14,
425886436,2015-04-14,
425886436,2015-08-14,12.0
425886436,2005-07-16,10.0
425886436,2005-08-16,10.0
425886436,2005-04-16,10.0
425886436,2005-07-16,10.0
425886436,2012-05-29,11.0
425886436,2012-10-29,11.0
425886436,2015-01-14,12.0
425886436,1994-11-10,
425886436,2012-02-29,
425886436,1996-09-08,
425886436,2002-06-25,
425886436,2005-07-30,
425886436,1989-11-07,
425886436,1993-10-17,
425886436,2003-07-16,
425886436,1998-08-10,
425886436,1998-10-01,
425886436,1989-11-07,
425886436,1998-08-10,
425886436,1989-09-07,
425886436,1996-06-08,
425886436,2003-06-16,
425886436,1996-02-08,
425886436,2002-11-25,
425886436,2003-02-16,
425886436,1994-02-10,
425886436,2002-04-25,
425886436,1998-12-01,
425886436,2005-04-16,
425886436,1998-03-01,
425886436,2005-07-16,
425886436,1998-02-01,
425886436,1989-12-07,
425886436,1994-09-10,
425886436,1993-04-17,
425886436,1989-12-07,
425886436,1989-07-07,
425886436,2012-02-29,
425886436,2005-05-30,
425886436,2003-12-16,
425886436,1998-11-10,
425886436,1993-12-17,
425886436,1998-03-01,
425886436,2005-01-30,
425886436,1998-07-01,
425886436,1998-06-10,
425886436,1994-04-10,
1179072556,2011-10-22,
1179072556,2005-11-21,
1179072556,2007-10-17,
1179072556,2003-10-19,
1179072556,2014-02-28,
1179072556,2008-03-30,
1179072556,2001-03-23,
1179072556,2003-05-19,2.0
1179072556,2003-06-19,2.0
1179072556,2004-01-07,3.0
1179072556,2004-02-07,3.0
1179072556,2005-04-21,4.0
1179072556,2005-06-21,4.0
1179072556,2007-08-11,5.0
1179072556,2007-10-17,6.0
1179072556,2011-01-22,8.0
1179072556,2011-06-22,8.0
1179072556,2008-05-30,7.0
1179072556,2008-06-30,7.0
1179072556,2008-08-30,7.0
1179072556,2008-07-30,7.0
1179072556,2008-03-30,
1179072556,2008-01-30,
1179072556,2008-01-30,
1179072556,2008-05-30,
1179072556,2014-02-28,
1179072556,2018-07-30,
1179072556,2018-08-30,
978827451,2018-09-23,
978827451,2018-10-23,
1215158860,2013-02-27,1.0
1215158860,2013-06-27,1.0
1215158860,2013-03-27,1.0
1215158860,2013-08-27,1.0
1215158860,2013-07-27,1.0
1215158860,2013-10-15,2.0
1215158860,2013-10-15,2.0
1215158860,2013-03-15,2.0
1215158860,2013-10-15,2.0
1215158860,2013-06-15,2.0
1215158860,2013-02-15,2.0
1215158860,2013-11-27,
1215158860,2013-04-27,
1215158860,2013-06-27,
1215158860,2013-07-15,
1215158860,2013-03-27,
1215158860,2013-03-27,
1215158860,2013-10-15,
1215158860,2013-03-15,
1215158860,2013-01-15,
1215158860,2013-10-15,
92124617,2015-05-20,
92124617,2015-04-20,
500860246,1992-11-20,
500860246,2004-07-27,
500860246,2005-10-01,
500860246,2004-08-27,
500860246,1992-02-20,
500860246,2004-07-27,
500860246,1992-05-20,
500860246,2005-03-01,
500860246,2005-05-01,
310206872,2002-07-14,
310206872,2010-10-12,
310206872,2002-11-14,1.0
310206872,2002-05-14,1.0
310206872,2003-02-17,2.0
310206872,2003-01-17,2.0
310206872,2003-07-17,2.0
310206872,2008-10-14,3.0
310206872,2010-06-12,4.0
1024186033,2015-08-04,
1024186033,2016-04-15,
1024186033,2017-11-20,
1024186033,2015-04-04,
1024186033,2015-04-04,
1024186033,2016-06-15,
1024186033,2017-11-20,
1024186033,2015-06-04,
1024186033,2015-12-04,
1024186033,2015-10-04,
1024186033,2016-09-15,
1024186033,2016-01-15,
1024186033,2015-10-04,
1024186033,2016-11-15,
1024186033,2015-04-04,
1024186033,2015-07-04,
1024186033,2016-03-15,
1024186033,2017-06-20,
1024186033,2015-12-04,
1024186033,2017-12-20,
1024186033,2018-06-06,
1024186033,2018-03-06,
649944968,2012-07-29,
649944968,2012-05-29,
649944968,2012-09-29,
649944968,2012-11-29,
766344392,2014-09-28,
766344392,2014-04-28,
766344392,2014-07-28,
766344392,2014-04-28,
766344392,2014-04-28,
766344392,2014-02-28,
766344392,2014-08-28,
766344392,2014-10-28,
766344392,2014-05-28,
1113017293,2020-01-15,
1113017293,2020-12-15,
254160203,2013-07-08,1.0
254160203,2013-02-08,1.0
254160203,2013-12-08,1.0
254160203,2013-05-08,1.0
254160203,2013-03-08,1.0
254160203,2013-01-08,
1154191793,2015-07-17,
1154191793,2015-03-17,
1154191793,2015-02-17,
1154191793,2015-11-17,
1154191793,2015-07-17,
1154191793,2012-06-27,1.0
1154191793,2015-11-17,2.0
1154191793,2015-12-17,
1098183164,2015-04-18,
1098183164,2015-01-18,1.0
1098183164,2015-06-18,1.0
1098183164,2015-12-18,1.0
1098183164,2015-05-18,
1098183164,2015-11-18,
1098183164,2015-11-18,
1098183164,2015-04-18,
187884675,2015-11-18,1.0
10698350,2018-09-23,
10698350,2018-07-23,
10698350,2018-07-23,
10698350,2018-02-23,
10698350,2018-09-23,
10698350,2018-04-23,
462447349,2011-01-11,
462447349,2011-11-11,
462447349,2013-06-08,
462447349,2011-06-11,1.0
462447349,2011-08-11,1.0
462447349,2011-02-11,1.0
462447349,2011-09-11,1.0
462447349,2011-10-11,1.0
462447349,2013-10-08,2.0
462447349,2013-04-08,2.0
462447349,2011-12-11,
462447349,2011-08-11,
462447349,2011-09-11,
462447349,2013-06-08,
784543149,2015-05-07,
1123914320,2016-09-29,
1123914320,2011-11-25,
1123914320,2016-05-06,
1123914320,2016-04-29,
1123914320,2016-02-06,
1123914320,2011-01-25,
1123914320,2014-09-17,
1123914320,2012-03-11,
1123914320,2014-05-17,
1123914320,2012-08-11,
1123914320,2011-05-15,
1123914320,2014-02-17,
1123914320,2012-10-11,
1123914320,2011-06-25,
173425626,2017-01-14,
173425626,2016-11-27,
173425626,2016-05-27,
173425626,2017-11-16,
173425626,2017-08-14,
173425626,2018-12-21,
173425626,2018-03-21,
173425626,2018-01-11,
173425626,2018-11-11,
173425626,2018-11-11,
173425626,2018-10-21,
173425626,2018-07-21,
173425626,2018-11-21,
173425626,2018-05-23,
173425626,2018-11-23,
173425626,2018-07-23,
173425626,2018-12-11,
173425626,2019-04-20,
173425626,2019-07-20,
173425626,2019-03-20,
807621140,2016-12-14,
807621140,2016-03-14,
807621140,2012-05-27,3.0
807621140,2012-08-27,3.0
807621140,2012-11-27,3.0
807621140,2010-01-25,
807621140,2008-12-16,
807621140,2010-07-25,
807621140,2019-09-17,
807621140,2020-01-01,
885962709,2014-03-22,
885962709,2016-06-11,
885962709,2016-07-11,
885962709,2016-12-11,2.0
885962709,2016-04-11,2.0
715299087,2017-12-23,
715299087,2017-02-23,
715299087,2017-11-23,
715299087,2017-04-23,
715299087,2017-07-23,
715299087,2017-12-23,
715299087,2017-07-23,
455558271,2014-06-23,
455558271,2014-08-23,
455558271,2009-02-18,1.0
455558271,2009-11-10,1.0
455558271,2009-07-02,1.0
455558271,2009-04-02,1.0
455558271,2010-12-21,1.0
455558271,2013-03-03,1.0
455558271,2013-03-03,1.0
455558271,2013-08-03,1.0
455558271,2019-11-30,
455558271,2019-06-30,
455558271,2018-01-03,
455558271,2018-06-03,
455558271,2018-02-03,
1022501713,2017-01-02,
1022501713,2017-01-02,
1022501713,2008-04-15,1.0
1022501713,2008-05-15,1.0
1022501713,2009-11-30,1.0
1187165635,2004-03-09,1.0
1187165635,2004-03-18,2.0
1187165635,2005-12-31,1.0
1187165635,2008-09-04,4.0
1187165635,2009-01-12,5.0
1187165635,2014-12-23,1.0
1187165635,2014-10-23,
1187165635,2014-11-23,
165029844,2004-06-15,1.0
165029844,2004-01-15,1.0
165029844,2005-06-20,2.0
165029844,2006-07-29,3.0
165029844,2007-09-09,4.0
165029844,2007-06-09,4.0
165029844,2007-02-28,5.0
165029844,2007-12-01,6.0
165029844,2008-03-24,7.0
760232610,2010-01-16,1.0
760232610,2011-12-11,2.0
191207011,2010-06-08,1.0
191207011,2010-05-08,1.0
191207011,2011-09-28,2.0
70578920,2008-11-15,1.0
70578920,2010-05-04,1.0
70578920,2010-01-04,2.0
70578920,2012-01-23,3.0
1197260202,2009-02-03,1.0
1197260202,2012-08-31,2.0
1197260202,2012-07-30,1.0
10711834,2008-10-26,1.0
10711834,2008-05-06,1.0
10711834,2008-06-06,2.0
10711834,2008-04-09,2.0
10711834,2008-03-09,3.0
10711834,2008-03-22,3.0
10711834,2008-11-22,4.0
10711834,2009-08-22,4.0
10711834,2011-10-24,5.0
10711834,2011-12-24,6.0
10711834,2011-01-29,6.0
10711834,2011-11-29,7.0
223377099,2015-03-27,
223377099,2015-04-27,
223377099,2015-02-27,1.0
223377099,2015-04-27,
223377099,2018-03-17,
223377099,2015-11-27,
485154649,2016-06-21,
485154649,2008-04-22,
485154649,2006-10-12,
485154649,2008-07-22,
485154649,2008-07-18,
485154649,2007-06-08,
